source_id,laboratory_anchor,source_asset_id,source_row,source_column,source_coordinate,source_sample,canonical_accession,source_identifier,measurement_batch_id,biological_unit_id,cohort_label,timepoint,technical_replicate_id,author_numeric_value,author_value_state,rank_target_eligible
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_41_2_S1-H3_6692,LFQ intensity PT_D3_41_2_S1-H3_6692:51,PT_D3_41_2_S1-H3_6692,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_41,PT_D3_41,PRETERM,D3,2,1701800.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_42_1_S1-G4_6693,LFQ intensity PT_D3_42_1_S1-G4_6693:51,PT_D3_42_1_S1-G4_6693,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_42,PT_D3_42,PRETERM,D3,1,260.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_42_2_S1-H4_6694,LFQ intensity PT_D3_42_2_S1-H4_6694:51,PT_D3_42_2_S1-H4_6694,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_42,PT_D3_42,PRETERM,D3,2,351.39,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_85_1_S1-E4_6679,LFQ intensity PT_D3_85_1_S1-E4_6679:51,PT_D3_85_1_S1-E4_6679,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_85,PT_D3_85,PRETERM,D3,1,208.81,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_85_2_S1-F4_6680,LFQ intensity PT_D3_85_2_S1-F4_6680:51,PT_D3_85_2_S1-F4_6680,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_85,PT_D3_85,PRETERM,D3,2,314.58,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_96_1_S1-A4_6647,LFQ intensity PT_D3_96_1_S1-A4_6647:51,PT_D3_96_1_S1-A4_6647,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_96,PT_D3_96,PRETERM,D3,1,462.34,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity PT_D3_96_2_S1-B4_6648,LFQ intensity PT_D3_96_2_S1-B4_6648:51,PT_D3_96_2_S1-B4_6648,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_96,PT_D3_96,PRETERM,D3,2,332.47,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_133_1_S1-A6_6651,LFQ intensity T_D1_133_1_S1-A6_6651:51,T_D1_133_1_S1-A6_6651,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_133,T_D1_133,TERM,D1,1,258.92,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_133_2_S1-B6_6652,LFQ intensity T_D1_133_2_S1-B6_6652:51,T_D1_133_2_S1-B6_6652,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_133,T_D1_133,TERM,D1,2,188.76,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_138_1_S1-G6_6697,LFQ intensity T_D1_138_1_S1-G6_6697:51,T_D1_138_1_S1-G6_6697,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_138,T_D1_138,TERM,D1,1,433.1,POSITIVE,true
