model_id,measurement_batch_id,protein_count,spearman,mae,rmse,biological_unit_id,spearman_status
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0052_Healthy:SP-006,31,,0.2584943085332844,0.29843995419635483,001-0052,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0052_Healthy:SP-007,26,,0.26,0.3002957165392698,001-0052,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0052_Healthy:SP-333,15,,0.26755490430212103,0.30889417704114897,001-0052,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0052_Healthy:SP-339,27,,0.2597527246122895,0.2998684830311836,001-0052,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0057_Healthy:SP-003,32,,0.25806451612903225,0.2981395558982208,001-0057,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0057_Healthy:SP-006,33,,0.2579795019555096,0.29785765734407454,001-0057,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0057_Healthy:SP-007,29,,0.2590801229148902,0.29910404821323927,001-0057,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0057_Healthy:SP-333,17,,0.26548962144304805,0.30647596540647926,001-0057,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0057_Healthy:SP-339,28,,0.25925925925925924,0.29947235299997166,001-0057,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0060_Healthy:SP-003,31,,0.25849430853328437,0.2984399541963548,001-0060,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0060_Healthy:SP-006,34,,0.25757575757575757,0.29759260030395895,001-0060,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0060_Healthy:SP-007,27,,0.2597527246122895,0.2998684830311835,001-0060,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0060_Healthy:SP-333,14,,0.2692307692307692,0.31037294264429627,001-0060,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0060_Healthy:SP-339,30,,0.25862068965517243,0.29876073560953154,001-0060,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0061_Healthy:SP-003,31,,0.25849430853328437,0.29843995419635483,001-0061,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0061_Healthy:SP-006,28,,0.2592592592592593,0.29947235299997166,001-0061,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0061_Healthy:SP-007,24,,0.2608695652173913,0.3012594023707161,001-0061,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0061_Healthy:SP-333,13,,0.2702556588101397,0.31208931348903257,001-0061,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0061_Healthy:SP-339,20,,0.26315789473684215,0.30378081000900664,001-0061,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0062_Healthy:SP-003,31,,0.2584943085332844,0.2984399541963548,001-0062,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0062_Healthy:SP-006,34,,0.2575757575757575,0.2975926003039589,001-0062,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0062_Healthy:SP-007,31,,0.2584943085332844,0.29843995419635483,001-0062,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0062_Healthy:SP-333,14,,0.2692307692307692,0.31037294264429627,001-0062,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0062_Healthy:SP-339,23,,0.2614488506318181,0.30180558026803345,001-0062,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0066_Healthy:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0066,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0066_Healthy:SP-006,34,,0.25757575757575757,0.2975926003039589,001-0066,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0066_Healthy:SP-007,26,,0.26,0.3002957165392698,001-0066,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0066_Healthy:SP-333,15,,0.2675549043021211,0.308894177041149,001-0066,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0066_Healthy:SP-339,29,,0.25908012291489024,0.29910404821323927,001-0066,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0068_Early:SP-003,31,,0.25849430853328437,0.29843995419635483,001-0068,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0068_Early:SP-006,28,,0.25925925925925924,0.29947235299997166,001-0068,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0068_Early:SP-007,21,,0.26253921735865793,0.30305805390799323,001-0068,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0068_Early:SP-333,14,,0.2692307692307692,0.31037294264429627,001-0068,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0068_Early:SP-339,21,,0.26253921735865793,0.30305805390799323,001-0068,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0004_Early:SP-003,17,,0.26548962144304805,0.30647596540647926,003-0004,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0004_Early:SP-006,14,,0.2692307692307692,0.31037294264429627,003-0004,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0004_Early:SP-007,12,,0.27272727272727276,0.3141056603384949,003-0004,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0006_Early:SP-003,32,,0.25806451612903225,0.2981395558982208,003-0006,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0006_Early:SP-006,25,,0.26053294258127263,0.3007578679762364,003-0006,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0006_Early:SP-007,28,,0.25925925925925924,0.29947235299997166,003-0006,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0006_Early:SP-333,16,,0.26666666666666666,0.30760682992462623,003-0006,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:003-0006_Early:SP-339,29,,0.2590801229148902,0.29910404821323927,003-0006,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:004-0003_Healthy:SP-003,33,,0.2579795019555096,0.29785765734407454,004-0003,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:004-0003_Healthy:SP-006,23,,0.26144885063181805,0.30180558026803345,004-0003,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:004-0003_Healthy:SP-007,29,,0.2590801229148902,0.29910404821323927,004-0003,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:004-0003_Healthy:SP-333,18,,0.2647058823529412,0.30547466715555033,004-0003,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:004-0003_Healthy:SP-339,30,,0.2586206896551724,0.29876073560953154,004-0003,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0002_Early:SP-003,30,,0.25862068965517243,0.29876073560953154,005-0002,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0002_Early:SP-006,27,,0.2597527246122895,0.2998684830311835,005-0002,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0002_Early:SP-007,23,,0.2614488506318181,0.30180558026803345,005-0002,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0002_Early:SP-333,13,,0.2702556588101397,0.31208931348903257,005-0002,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0002_Early:SP-339,22,,0.2619047619047619,0.3024026432451852,005-0002,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0018_Early:SP-003,33,,0.2579795019555096,0.29785765734407454,005-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0018_Early:SP-006,33,,0.2579795019555096,0.29785765734407454,005-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0018_Early:SP-007,32,,0.25806451612903225,0.2981395558982208,005-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0018_Early:SP-333,30,,0.25862068965517243,0.29876073560953154,005-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0018_Early:SP-339,31,,0.2584943085332844,0.2984399541963548,005-0018,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0019_Early:SP-003,32,,0.25806451612903225,0.2981395558982208,005-0019,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0019_Early:SP-006,30,,0.2586206896551724,0.29876073560953154,005-0019,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0019_Early:SP-007,29,,0.25908012291489024,0.29910404821323927,005-0019,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0019_Early:SP-333,16,,0.26666666666666666,0.3076068299246262,005-0019,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0019_Early:SP-339,27,,0.2597527246122895,0.2998684830311836,005-0019,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0020_Early:SP-003,23,,0.2614488506318181,0.30180558026803345,005-0020,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0020_Early:SP-006,21,,0.2625392173586579,0.30305805390799323,005-0020,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0020_Early:SP-007,16,,0.26666666666666666,0.3076068299246262,005-0020,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0020_Early:SP-333,11,,0.2739385058665288,0.31650832117313044,005-0020,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0020_Early:SP-339,11,,0.27393850586652874,0.31650832117313044,005-0020,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0024_Early:SP-003,31,,0.25849430853328437,0.29843995419635483,005-0024,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0024_Early:SP-006,28,,0.25925925925925924,0.29947235299997166,005-0024,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0024_Early:SP-007,20,,0.26315789473684215,0.30378081000900664,005-0024,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0024_Early:SP-333,11,,0.2739385058665288,0.3165083211731304,005-0024,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0024_Early:SP-339,23,,0.2614488506318181,0.30180558026803345,005-0024,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0029_Early:SP-003,33,,0.2579795019555096,0.29785765734407454,005-0029,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0029_Early:SP-006,33,,0.2579795019555096,0.29785765734407454,005-0029,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0029_Early:SP-007,28,,0.25925925925925924,0.29947235299997166,005-0029,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0029_Early:SP-333,14,,0.2692307692307692,0.31037294264429627,005-0029,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0029_Early:SP-339,30,,0.25862068965517243,0.2987607356095315,005-0029,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0032_Early:SP-003,32,,0.25806451612903225,0.2981395558982208,005-0032,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0032_Early:SP-006,32,,0.25806451612903225,0.2981395558982208,005-0032,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0032_Early:SP-007,29,,0.2590801229148902,0.29910404821323927,005-0032,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0032_Early:SP-333,18,,0.2647058823529412,0.30547466715555033,005-0032,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:005-0032_Early:SP-339,29,,0.2590801229148902,0.29910404821323927,005-0032,UNDEFINED_CONSTANT_PREDICTION
