target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T197_32a311cc55079a86cbae,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_18,PT_D1_18,protein_groups,160,LFQ intensity PT_D1_18_2_S1-D1_6658:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,71933.0,0.5,13,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_332d45810c2f4f78b18a,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,T_D1_138,T_D1_138,protein_groups,178,LFQ intensity T_D1_138_1_S1-G6_6697:178,P06396;CON__Q3SX14,2756200.0,0.8571428571428571,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_33fbee5348f4f2620101,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,T_D1_165,T_D1_165,protein_groups,202,LFQ intensity T_D1_165_1_S1-A7_6653:202,P07996;CON__Q28194;P35442,141440.0,0.5714285714285714,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_341d3d9f1af92c20891e,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,T_D1_138,T_D1_138,protein_groups,51,LFQ intensity T_D1_138_2_S1-H6_6698:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,277.17,0,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_356912ca5927be672b40,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D3_06,PT_D3_06,protein_groups,160,LFQ intensity PT_D3_06_2_S1-F5_6682:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,519130.0,0.6428571428571429,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_357f6d437762d1cd0801,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D3_42,PT_D3_42,protein_groups,149,LFQ intensity PT_D3_42_1_S1-G4_6693:149,P04004;CON__Q3ZBS7,2779500.0,1,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_35e158ee123e3fd7e292,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_51,PT_D1_51,protein_groups,51,LFQ intensity PT_D1_51_2_S1-H2_6690:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,360.27,0,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3696d1b2b3dcb3864f24,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_23,PT_D1_23,protein_groups,385,LFQ intensity PT_D1_23_2_S1-H1_6688:385,Q9HDC9,24597.0,0.35714285714285715,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_377ef0e10452bb10bf79,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,T_D3_178,T_D3_178,protein_groups,385,LFQ intensity T_D3_178_1_S1-C7_6669:385,Q9HDC9,34240.0,0.42857142857142855,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_37d68b21bcc96d5745d4,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D3_37,PT_D3_37,protein_groups,385,LFQ intensity PT_D3_37_1_S1-G5_6695:385,Q9HDC9,78456.0,0.46153846153846156,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_386d3d55f7c405153dc5,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_20,PT_D1_20,protein_groups,385,LFQ intensity PT_D1_20_1_S1-E1_6673:385,Q9HDC9,30191.0,0.36363636363636365,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3884ab1e95c4ca6ec7e0,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,T_D1_165,T_D1_165,protein_groups,51,LFQ intensity T_D1_165_1_S1-A7_6653:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,960.8,0.071428571428571425,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
