outer_fold_id,held_out_source_id,model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_16,0.9045859469429395,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_18,0.7055745870108262,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_20,0.847579379526013,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_23,0.8498979080064683,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_33,0.8795714352148493,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_34,0.9894548898363074,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_48,0.882762806779994,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_51,0.9425630431184471,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_73,0.9768104883541793,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D1_81,0.7064517492894147,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_06,0.9515398340052894,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_14,0.828416869579514,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_22,0.985939941285598,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_28,0.8741624754671594,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_30,0.9599123045541285,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_37,0.9470496802718942,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_41,0.5158975180247519,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_42,0.9363204204590198,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_85,0.9806377767529318,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,PT_D3_96,0.957985702595833,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,R4_PXD060795_F1,0.5384615384615384,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,R4_PXD060795_F2,0.6272727272727273,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,R4_PXD060795_F3,0.4909090909090909,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,R4_PXD060795_F7,0.7363636363636363,0.1
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,10.0,R4_PXD060795_F8,0.7696969696969697,0.1
