analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,source_condition_id,protein_source_identifier,quantification_column,author_reported_quantification
PMC7788026:Urea-PC:1450,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1450,Urea-PC!A1450:Q1450,PMC7788026:UREA_PC,O60508,Top3_normalized_Urea,0.0055770995766088374
PMC7788026:Urea-PC:1451,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1451,Urea-PC!A1451:Q1451,PMC7788026:UREA_PC,Q13045,Top3_normalized_Urea,0.0054766112959492184
PMC7788026:Urea-PC:1452,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1452,Urea-PC!A1452:Q1452,PMC7788026:UREA_PC,P28332,Top3_normalized_Urea,0.005447639876323563
PMC7788026:Urea-PC:1453,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1453,Urea-PC!A1453:Q1453,PMC7788026:UREA_PC,P21912,Top3_normalized_Urea,0.0054364970226213867
PMC7788026:Urea-PC:1454,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1454,Urea-PC!A1454:Q1454,PMC7788026:UREA_PC,Q9Y4E8,Top3_normalized_Urea,0.0053453282196035878
PMC7788026:Urea-PC:1455,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1455,Urea-PC!A1455:Q1455,PMC7788026:UREA_PC,Q9Y3L5,Top3_normalized_Urea,0.0052902217431128285
PMC7788026:Urea-PC:1456,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1456,Urea-PC!A1456:Q1456,PMC7788026:UREA_PC,Q86YM7,Top3_normalized_Urea,0.0052537542219057093
PMC7788026:Urea-PC:1457,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1457,Urea-PC!A1457:Q1457,PMC7788026:UREA_PC,Q5VIR6,Top3_normalized_Urea,0.0052476763017045231
PMC7788026:Urea-PC:1458,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1458,Urea-PC!A1458:Q1458,PMC7788026:UREA_PC,P49593,Top3_normalized_Urea,0.0051090997211174676
PMC7788026:Urea-PC:1459,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1459,Urea-PC!A1459:Q1459,PMC7788026:UREA_PC,Q9NUU7,Top3_normalized_Urea,0.0050714166158701106
PMC7788026:Urea-PC:1460,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1460,Urea-PC!A1460:Q1460,PMC7788026:UREA_PC,P42765,Top3_normalized_Urea,0.0050596659701478168
PMC7788026:Urea-PC:1461,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1461,Urea-PC!A1461:Q1461,PMC7788026:UREA_PC,O14787,Top3_normalized_Urea,0.005058616515926412
PMC7788026:Urea-PC:1462,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1462,Urea-PC!A1462:Q1462,PMC7788026:UREA_PC,P51116,Top3_normalized_Urea,0.0050491309084657598
PMC7788026:Urea-PC:1463,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1463,Urea-PC!A1463:Q1463,PMC7788026:UREA_PC,Q8IWX8,Top3_normalized_Urea,0.0050416348068842969
PMC7788026:Urea-PC:1464,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1464,Urea-PC!A1464:Q1464,PMC7788026:UREA_PC,Q93052,Top3_normalized_Urea,0.0050402166255040194
PMC7788026:Urea-PC:1465,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1465,Urea-PC!A1465:Q1465,PMC7788026:UREA_PC,Q15437,Top3_normalized_Urea,0.0050347870167909599
PMC7788026:Urea-PC:1466,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1466,Urea-PC!A1466:Q1466,PMC7788026:UREA_PC,Q6DKI1,Top3_normalized_Urea,0.0050331257186026351
PMC7788026:Urea-PC:1467,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1467,Urea-PC!A1467:Q1467,PMC7788026:UREA_PC,Q96KG9,Top3_normalized_Urea,0.0050288711744618042
PMC7788026:Urea-PC:1468,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1468,Urea-PC!A1468:Q1468,PMC7788026:UREA_PC,P54652,Top3_normalized_Urea,0.0050012531050676124
PMC7788026:Urea-PC:1469,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1469,Urea-PC!A1469:Q1469,PMC7788026:UREA_PC,P78504,Top3_normalized_Urea,0.0049614062602286336
PMC7788026:Urea-PC:1470,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1470,Urea-PC!A1470:Q1470,PMC7788026:UREA_PC,Q58FG1,Top3_normalized_Urea,0.0049498744196335822
PMC7788026:Urea-PC:1471,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1471,Urea-PC!A1471:Q1471,PMC7788026:UREA_PC,Q9BTV4,Top3_normalized_Urea,0.0049316244512428191
PMC7788026:Urea-PC:1472,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1472,Urea-PC!A1472:Q1472,PMC7788026:UREA_PC,Q4VXU2,Top3_normalized_Urea,0.0049248739078727012
PMC7788026:Urea-PC:1473,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1473,Urea-PC!A1473:Q1473,PMC7788026:UREA_PC,Q9BUL8,Top3_normalized_Urea,0.0049237231549812757
PMC7788026:Urea-PC:1474,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1474,Urea-PC!A1474:Q1474,PMC7788026:UREA_PC,O43739,Top3_normalized_Urea,0.004913998482659377
PMC7788026:Urea-PC:1475,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1475,Urea-PC!A1475:Q1475,PMC7788026:UREA_PC,Q15291,Top3_normalized_Urea,0.0048874582311141963
PMC7788026:Urea-PC:1476,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1476,Urea-PC!A1476:Q1476,PMC7788026:UREA_PC,Q03468,Top3_normalized_Urea,0.0048769231694321393
