external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC13106918:216:LFQ intensity RapiG_1216:R4_PMC13106918_RapiG_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_RapiG_1,proteinGroups.txt,216,LFQ intensity RapiG_1216,LFQ_INTENSITY,7146500,0.66666666666666663,19
R4PMC13106918:216:LFQ intensity RapiG_2216:R4_PMC13106918_RapiG_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_RapiG_2,proteinGroups.txt,216,LFQ intensity RapiG_2216,LFQ_INTENSITY,8760800,0.6428571428571429,29
R4PMC13106918:216:LFQ intensity RapiG_3216:R4_PMC13106918_RapiG_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_RapiG_3,proteinGroups.txt,216,LFQ intensity RapiG_3216,LFQ_INTENSITY,5886800,0.64000000000000001,26
R4PMC13106918:216:LFQ intensity RapiG_4216:R4_PMC13106918_RapiG_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_RapiG_4,proteinGroups.txt,216,LFQ intensity RapiG_4216,LFQ_INTENSITY,8876400,0.68000000000000005,26
R4PMC13106918:216:LFQ intensity STD_3216:R4_PMC13106918_STD_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_STD_3,proteinGroups.txt,216,LFQ intensity STD_3216,LFQ_INTENSITY,7862400,0.75,21
R4PMC13106918:216:LFQ intensity Strap_1216:R4_PMC13106918_Strap_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Strap_1,proteinGroups.txt,216,LFQ intensity Strap_1216,LFQ_INTENSITY,2969600,0.52380952380952384,22
R4PMC13106918:216:LFQ intensity Strap_2216:R4_PMC13106918_Strap_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Strap_2,proteinGroups.txt,216,LFQ intensity Strap_2216,LFQ_INTENSITY,7432800,0.68000000000000005,26
R4PMC13106918:216:LFQ intensity Strap_3216:R4_PMC13106918_Strap_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Strap_3,proteinGroups.txt,216,LFQ intensity Strap_3216,LFQ_INTENSITY,4292400,0.63636363636363635,23
R4PMC13106918:216:LFQ intensity Strap_4216:R4_PMC13106918_Strap_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Strap_4,proteinGroups.txt,216,LFQ intensity Strap_4216,LFQ_INTENSITY,4974100,0.60869565217391308,24
R4PMC13106918:273:LFQ intensity iST_1273:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_iST_1,proteinGroups.txt,273,LFQ intensity iST_1273,LFQ_INTENSITY,18554000,0.875,33
R4PMC13106918:273:LFQ intensity iST_2273:R4_PMC13106918_iST_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_iST_2,proteinGroups.txt,273,LFQ intensity iST_2273,LFQ_INTENSITY,23913000,0.87096774193548387,32
R4PMC13106918:273:LFQ intensity iST_3273:R4_PMC13106918_iST_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_iST_3,proteinGroups.txt,273,LFQ intensity iST_3273,LFQ_INTENSITY,14094000,0.7931034482758621,30
R4PMC13106918:273:LFQ intensity iST_4273:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_iST_4,proteinGroups.txt,273,LFQ intensity iST_4273,LFQ_INTENSITY,21665000,0.8666666666666667,31
R4PMC13106918:273:LFQ intensity Pmax_1273:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Pmax_1,proteinGroups.txt,273,LFQ intensity Pmax_1273,LFQ_INTENSITY,23243000,0.89655172413793105,30
R4PMC13106918:273:LFQ intensity Pmax_2273:R4_PMC13106918_Pmax_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Pmax_2,proteinGroups.txt,273,LFQ intensity Pmax_2273,LFQ_INTENSITY,16336000,0.5625,17
R4PMC13106918:273:LFQ intensity Pmax_3273:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Pmax_3,proteinGroups.txt,273,LFQ intensity Pmax_3273,LFQ_INTENSITY,26172000,0.8571428571428571,29
R4PMC13106918:273:LFQ intensity RapiG_1273:R4_PMC13106918_RapiG_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_RapiG_1,proteinGroups.txt,273,LFQ intensity RapiG_1273,LFQ_INTENSITY,8976100,0.72222222222222221,19
R4PMC13106918:273:LFQ intensity RapiG_2273:R4_PMC13106918_RapiG_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_RapiG_2,proteinGroups.txt,273,LFQ intensity RapiG_2273,LFQ_INTENSITY,15069000,0.8571428571428571,29
R4PMC13106918:273:LFQ intensity RapiG_3273:R4_PMC13106918_RapiG_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_RapiG_3,proteinGroups.txt,273,LFQ intensity RapiG_3273,LFQ_INTENSITY,8962000,0.68000000000000005,26
R4PMC13106918:273:LFQ intensity RapiG_4273:R4_PMC13106918_RapiG_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_RapiG_4,proteinGroups.txt,273,LFQ intensity RapiG_4273,LFQ_INTENSITY,11355000,0.80000000000000004,26
R4PMC13106918:273:LFQ intensity STD_3273:R4_PMC13106918_STD_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_STD_3,proteinGroups.txt,273,LFQ intensity STD_3273,LFQ_INTENSITY,11262000,0.80000000000000004,21
R4PMC13106918:273:LFQ intensity Strap_1273:R4_PMC13106918_Strap_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Strap_1,proteinGroups.txt,273,LFQ intensity Strap_1273,LFQ_INTENSITY,8308500,0.80952380952380953,22
R4PMC13106918:273:LFQ intensity Strap_2273:R4_PMC13106918_Strap_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Strap_2,proteinGroups.txt,273,LFQ intensity Strap_2273,LFQ_INTENSITY,11446000,0.83999999999999997,26
R4PMC13106918:273:LFQ intensity Strap_3273:R4_PMC13106918_Strap_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Strap_3,proteinGroups.txt,273,LFQ intensity Strap_3273,LFQ_INTENSITY,7580900,0.81818181818181823,23
R4PMC13106918:273:LFQ intensity Strap_4273:R4_PMC13106918_Strap_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P10809,R4_PMC13106918_Strap_4,proteinGroups.txt,273,LFQ intensity Strap_4273,LFQ_INTENSITY,8521100,0.82608695652173914,24
R4PMC13106918:275:LFQ intensity iST_1275:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P11021,R4_PMC13106918_iST_1,proteinGroups.txt,275,LFQ intensity iST_1275,LFQ_INTENSITY,34895000,0.96875,33
