Supplementary Data 2. The compiled data from 5 cores not providing semiquantitative results,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Normalized value,,,,
Q9Y490,NA,NA,NA,11.57666667,NA,0.011839753,0.011689732,0.014386295,6.922632408,16
A0A1B0GVU7 (+1),NA,NA,NA,0.234,NA,0,0,0.000612191,100,16
P01024,NA,NA,NA,9.866666667,NA,0.016848662,0.019128428,0.015610513,5.991360135,16
Q5T123 (+1),NA,NA,NA,3.8,NA,0.000910766,0,0,100,16
E5RIW3 (+2),NA,NA,NA,3.566666667,NA,0.000455363,0,0,100,16
P08493,NA,NA,NA,7.133333333,NA,0.000455363,0.001062677,0,60.83081854,16
A0A286YEY4 (+1),NA,NA,NA,6.74,NA,0.005919876,0.003188071,0.001530456,36.08723021,16
K7ERE3 [3],NA,NA,NA,9.006666667,NA,0.001821491,0.002125395,0.000918265,22.35295643,16
K7ERE3 (+1),NA,NA,NA,9.006666667,NA,0.001821491,0.001594036,0.000918265,18.77572252,16
K1C15_SHEEP,NA,NA,NA,4.49,NA,0.000455363,0.001062677,0.000612191,25.63385223,16
P02787 (+1),NA,NA,NA,11.1,NA,0.005009313,0.004250625,0.003673103,8.974933087,16
A0A3B3ISR2 (+3),NA,NA,NA,8.13,NA,0.005464595,0.006907625,0.004897279,10.39535828,16
P59665 (+1),NA,NA,NA,13.11333333,NA,0.000910766,0.001594036,0.001530456,16.20225732,16
A0A075B6K2 (+2),NA,NA,NA,3.19,NA,0.000455363,0,0,100,16
P30041,NA,NA,NA,6.253333333,NA,0.000455363,0,0.000306091,52.80362059,16
P19013 [2],NA,NA,NA,7.643333333,NA,0.001821491,0.00371943,0,58.13740472,16
P19013,NA,NA,NA,7.643333333,NA,0.001821491,0.00371943,0,58.13740472,16
P08729,NA,NA,NA,0,NA,0,0,0,NA,16
Q03591 [6],NA,NA,NA,10.89666667,NA,0.001366128,0.002656754,0.000918265,31.64105914,16
Q03591,NA,NA,NA,10.89666667,NA,0.001366128,0.002656754,0.000918265,31.64105914,16
A0A3B3IQ51 (+4),NA,NA,NA,1.22,NA,0,0,0.000306091,100,16
A0A087WWY6 (+2),NA,NA,NA,6.006666667,NA,0.000910766,0,0.000612191,52.80403528,16
P02747,NA,NA,NA,7.21,NA,0.001366128,0.001594036,0.000306091,36.4474453,16
P01717,NA,NA,NA,8.93,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
P02776,NA,NA,NA,19.14,NA,0.000910766,0.000531359,0.004285375,62.49543026,16
A0A494C1B1 (+5),NA,NA,NA,5.9,NA,0.001366128,0.000531359,0.000306091,43.89590987,16
P04264,NA,NA,NA,5.123333333,NA,0.00318762,0.001062677,0.000918265,42.57867257,16
P02766,NA,NA,NA,19.51333333,NA,0.000455363,0,0.001836531,72.27543967,16
P35579,NA,NA,NA,9.843333333,NA,0.009107658,0.01115825,0.012243812,8.485209384,16
A0A0A0MSV6 (+2),NA,NA,NA,2.923333333,NA,0.000455363,0,0,100,16
A0A0A0MS51 [5],NA,NA,NA,9.346666667,NA,0.005009313,0.004782107,0.002754837,17.13575476,16
A0A0A0MS51 (+3),NA,NA,NA,9.346666667,NA,0.005009313,0.004250625,0.002448722,19.4561757,16
Q5T0I0,NA,NA,NA,3.973333333,NA,0,0.000531359,0.000612191,50.37333271,16
B2MG_HUMAN (+1),NA,NA,NA,10.90666667,NA,0.000910766,0.001594036,0.000306091,39.70570269,16
K22E_HUMAN [5],NA,NA,NA,6.28,NA,0.005009313,0.00371943,0.001836531,26.15797416,16
P13647,NA,NA,NA,5.54,NA,0.001821491,0.002125395,0.000612191,30.41101895,16
P02538,NA,NA,NA,4.02,NA,0.001821491,0.002125395,0,50.44269558,16
K22E_HUMAN (+1),NA,NA,NA,5.583333333,NA,0.00318762,0.00371943,0.001224381,27.99291553,16
H0YIN9,NA,NA,NA,0,NA,0,0,0,NA,16
P01714,NA,NA,NA,2.68,NA,0.000455363,0,0,100,16
P01624,NA,NA,NA,13.92,NA,0.000910766,0.001062677,0.001224381,8.494624164,16
P01619,NA,NA,NA,14.07333333,NA,0.001821491,0.001062677,0.000612191,30.27638383,16
K7EJP1 (+4),NA,NA,NA,5.093333333,NA,0.000455363,0,0.000612191,51.59317849,16
A0A590UIX5 (+3),NA,NA,NA,2.51,NA,0.000455363,0,0,100,16
A0A075B6I0,NA,NA,NA,4.92,NA,0.000455363,0,0.000306091,52.80362059,16
E9PIT3 (+1),NA,NA,NA,7.936666667,NA,0.002276854,0.002656754,0.003366987,11.54642663,16
P14770,NA,NA,NA,7.34,NA,0.000455363,0.000531359,0.000612191,8.495681605,16
P06727,NA,NA,NA,16.57333333,NA,0.001366128,0.002125395,0.007346124,52.03003501,16
Q9H4B7,NA,NA,NA,5.173333333,NA,0.000910766,0.000531359,0.001224381,22.54169881,16
A0A0G2JL54 (+9),NA,NA,NA,8.49,NA,0.012750317,0.014877803,0.013162078,4.79137962,16
H0YKU1 (+2),NA,NA,NA,6.95,NA,0.000910766,0.001062677,0.000612191,15.35270422,16
P62937 (+1),NA,NA,NA,6.67,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
P35527,NA,NA,NA,4.87,NA,0.001821491,0.000531359,0.000612191,42.21444191,16
A6NIZ1 (+4),NA,NA,NA,7.073333333,NA,0.000455363,0,0.000918265,57.89413629,16
A0A087WWU8 [4],NA,NA,NA,9.69,NA,0.000455363,0,0.003366987,82.7757321,16
A0A087WWU8,NA,NA,NA,9.69,NA,0.000455363,0,0.003060912,81.35155375,16
A0A2R8Y5V9 (+2),NA,NA,NA,7.516666667,NA,0.000455363,0,0.002448722,77.67606473,16
E5RGX5 (+1),NA,NA,NA,1.983333333,NA,0.000455363,0,0,100,16
P00747,NA,NA,NA,6.296666667,NA,0.001821491,0.001594036,0.002448722,13.0740507,16
E7EUT5 (+1),NA,NA,NA,3.846666667,NA,0.000455363,0,0.000306091,52.80362059,16
ANT3_HUMAN (+1),NA,NA,NA,6.393333333,NA,0.001366128,0.001594036,0.000918265,15.35358844,16
A0A494BZZ2 (+5),NA,NA,NA,7.053333333,NA,0.000455363,0.000531359,0.001836531,47.63235123,16
P07357,NA,NA,NA,4.396666667,NA,0.000455363,0.000531359,0.000612191,8.495681605,16
P60174 (+1),NA,NA,NA,3.48,NA,0.000455363,0,0.000306091,52.80362059,16
P07305,NA,NA,NA,1.716666667,NA,0.000455363,0,0,100,16
P24593,NA,NA,NA,3.186666667,NA,0.000455363,0.000531359,0,50.44293203,16
B4E1Z4,NA,NA,NA,6.033333333,NA,0.00318762,0.00371943,0.003673103,4.822490138,16
P02753 (+2),NA,NA,NA,4.81,NA,0.000455363,0,0.000612191,51.59317849,16
P04792,NA,NA,NA,11.06,NA,0.000455363,0,0.000918265,57.89413629,16
O00151,NA,NA,NA,4.86,NA,0.000455363,0.000531359,0.001224381,33.19506945,16
P08514,NA,NA,NA,4.81,NA,0.004553627,0.00371943,0.004285375,5.873422604,16
P04196,NA,NA,NA,4.19,NA,0.001366128,0.001594036,0.000918265,15.35358844,16
F5GX80 (+3),NA,NA,NA,3.16,NA,0.000455363,0,0.000306091,52.80362059,16
P04083 (+1),NA,NA,NA,3.08,NA,0.000455363,0.000531359,0,50.44293203,16
A0A1W2PQM2 (+11),NA,NA,NA,5.13,NA,0.000455363,0.000531359,0.001530456,41.28359611,16
Q53TN4,NA,NA,NA,4.2,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
AMYS_HUMAN (+3),NA,NA,NA,3.783333333,NA,0.00318762,0.002656754,0,50.61502444,16
Q15485,NA,NA,NA,2.98,NA,0.000455363,0,0.000306091,52.80362059,16
A0A0G2JRQ5 (+1),NA,NA,NA,2.946666667,NA,0.000455363,0,0.000306091,52.80362059,16
A0A087X232 (+2),NA,NA,NA,3.813333333,NA,0.001821491,0.001594036,0.001836531,4.480835135,16
B4E3S0 (+1),NA,NA,NA,3.976666667,NA,0.000455363,0,0.000918265,57.89413629,16
Q9BWP8,NA,NA,NA,7.986666667,NA,0.000455363,0,0.001224381,63.81211685,16
Q13790,NA,NA,NA,3.99,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
P16157,NA,NA,NA,4.323333333,NA,0.00318762,0.00371943,0.003366987,4.561217606,16
P13929,NA,NA,NA,3.533333333,NA,0.000455363,0,0.000918265,57.89413629,16
C9JD84 (+2),NA,NA,NA,2.74,NA,0.001366128,0.001062677,0.000918265,11.8291064,16
P08603,NA,NA,NA,3.79,NA,0.003642982,0.004782107,0.001836531,25.07082446,16
P01042,NA,NA,NA,4.866666667,NA,0.002276854,0.001594036,0.002448722,12.39045275,16
P68366,NA,NA,NA,4.316666667,NA,0.000455363,0.001062677,0.001530456,30.62718915,16
O95810,NA,NA,NA,2.9,NA,0.000455363,0,0.000918265,57.89413629,16
K1C10_HUMAN [4],NA,NA,NA,3.616666667,NA,0.001366128,0.001062677,0.000918265,11.8291064,16
K1C10_HUMAN (+1),NA,NA,NA,2.64,NA,0.000910766,0.000531359,0.000612191,16.84957138,16
P02533,NA,NA,NA,3.176666667,NA,0.000455363,0.001062677,0.000306091,38.05069391,16
P08779,NA,NA,NA,3.173333333,NA,0.000455363,0.001062677,0.000306091,38.05069391,16
P28289,NA,NA,NA,1.02,NA,0.000455363,0,0,100,16
ALDOA_RABIT (+2),NA,NA,NA,3.06,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
Q15942,NA,NA,NA,0.99,NA,0.000455363,0,0,100,16
A0A0A0MRJ7 (+1),NA,NA,NA,2.466666667,NA,0.003642982,0.00371943,0.003060912,5.984820973,16
P19827,NA,NA,NA,2.78,NA,0.000910766,0.000531359,0.000918265,16.23509995,16
P04003,NA,NA,NA,4.243333333,NA,0.000455363,0.000531359,0.001836531,47.63235123,16
Q14520,NA,NA,NA,2.32,NA,0.000910766,0.001594036,0.001224381,15.88530705,16
O14672,NA,NA,NA,0.756666667,NA,0.000455363,0,0,100,16
Q08495,NA,NA,NA,3.21,NA,0.000455363,0.000531359,0.000612191,8.495681605,16
P00450,NA,NA,NA,0.72,NA,0.000455363,0,0,100,16
P02748,NA,NA,NA,2.266666667,NA,0.000910766,0.001062677,0.000612191,15.35270422,16
P10643,NA,NA,NA,1.423333333,NA,0.000455363,0,0.000306091,52.80362059,16
Q9UBW5 (+1),NA,NA,NA,2.713333333,NA,0.000455363,0.000531359,0.000612191,8.495681605,16
P02751,NA,NA,NA,1.483333333,NA,0.001821491,0.001594036,0.003060912,21.11362812,16
P13671,NA,NA,NA,2.034666667,NA,0.000455363,0.000531359,0.000918265,22.5708374,16
P11277,NA,NA,NA,1.184666667,NA,0.001366128,0.000531359,0.000918265,25.69734689,16
A0A2R8YD30 (+2),NA,NA,NA,1.016666667,NA,0.000455363,0.000531359,0,50.44293203,16
F5H563 (+1),NA,NA,NA,0.436666667,NA,0.000455363,0,0,100,16
P19823 (+1),NA,NA,NA,2.853333333,NA,0.000455363,0.000531359,0.001836531,47.63235123,16
P02549,NA,NA,NA,1.873333333,NA,0.001821491,0.002125395,0.002754837,12.30321343,16
Q93084,NA,NA,NA,1.053333333,NA,0.000455363,0,0.000612191,51.59317849,16
Q8TDD1,NA,NA,NA,0.34,NA,0.000455363,0,0,100,16
P18206,NA,NA,NA,0.323333333,NA,0.000455363,0,0,100,16
P08519,NA,NA,NA,0.601333333,NA,0.001821491,0.001062677,0.000918265,22.10105961,16
Q13201,NA,NA,NA,0.814333333,NA,0.000455363,0.000531359,0.000306091,15.35396685,16
P04114,NA,NA,NA,0.109666667,NA,0.000455363,0,0,100,16
P02760,NA,NA,NA,4.466666667,NA,0,0,0.000918265,100,16
P05556,NA,NA,NA,1.126666667,NA,0,0,0.000612191,100,16
P07358,NA,NA,NA,0.62,NA,0,0,0.000306091,100,16
sp|Q13017|RHG05_HUMAN-DECOY (+1),NA,NA,NA,0,NA,0.000910766,0.000531359,0.000306091,30.27683474,16
P02790 (+1),NA,NA,NA,0.793333333,NA,0,0,0.000306091,100,16
C9J6K0 (+1),NA,NA,NA,2.036666667,NA,0,0.000531359,0,100,16
P13224,NA,NA,NA,5.5,NA,0,0.000531359,0.000306091,55.16046467,16
A0A087X1D0 (+2),NA,NA,NA,1.986666667,NA,0,0,0.000306091,100,16
P02730,NA,NA,NA,0.329333333,NA,0,0,0.000306091,100,16
Q16610,NA,NA,NA,0.863333333,NA,0,0,0.000306091,100,16
A0A669KBE7 (+1),NA,NA,NA,0.322,NA,0,0,0.000306091,100,16
O00187,NA,NA,NA,1.213333333,NA,0,0,0.000918265,100,16
D6RAR4 (+1),NA,NA,NA,0.956666667,NA,0,0.000531359,0,100,16
P27169,NA,NA,NA,2.723333333,NA,0,0,0.000306091,100,16
C9J813 (+1),NA,NA,NA,1.306666667,NA,0,0,0.000306091,100,16
K7EM16 (+1),NA,NA,NA,2.913333333,NA,0,0,0.000306091,100,16
B1AN99 (+1),NA,NA,NA,2.446666667,NA,0,0.000531359,0,100,16
P48061,NA,NA,NA,5.033333333,NA,0,0,0.000306091,100,16
sp|Q8NDM7|CFA43_HUMAN-DECOY (+2),NA,NA,NA,0,NA,0,0,0.000306091,100,16
B1AN48 (+1),NA,NA,NA,1.686666667,NA,0,0.000531359,0,100,16
A0A182DWH7 (+1),NA,NA,NA,1.076666667,NA,0,0.000531359,0,100,16
H3BQ34 (+6),NA,NA,NA,1.186666667,NA,0,0,0.000306091,100,16
Q8WUW1,NA,NA,NA,5.766666667,NA,0,0,0.000306091,100,16
P12273,NA,NA,NA,2.74,NA,0,0.000531359,0,100,16
I3L3D5 (+2),NA,NA,NA,2.826666667,NA,0,0,0.000306091,100,16
E9PBC5 (+2),NA,NA,NA,0.906666667,NA,0,0,0.000306091,100,16
P30405,NA,NA,NA,1.77,NA,0,0,0.000306091,100,16
P13535 [6],NA,NA,NA,0.483333333,NA,0,0,0.000918265,100,16
Q9UKX3,NA,NA,NA,0,NA,0,0,0,NA,16
P13535,NA,NA,NA,0.483333333,NA,0,0,0.000918265,100,16
A0A6E1W127 (+1),NA,NA,NA,0.309,NA,0,0,0.000612191,100,16
P12882 (+1),NA,NA,NA,0.309333333,NA,0,0,0.000612191,100,16
A0A075B6I9 (+1),NA,NA,NA,2.563333333,NA,0,0,0.000612191,100,16
A0A0A0MRZ8 (+1),NA,NA,NA,4.633333333,NA,0,0,0.000306091,100,16
A0A4W8ZXM2,NA,NA,NA,10.23333333,NA,0,0,0.000918265,100,16
A0A2R8Y619 (+16),NA,NA,NA,2.46,NA,0,0,0.000306091,100,16
P10412 (+2),NA,NA,NA,4.266666667,NA,0,0,0.000612191,100,16
A0A494C160 (+1),NA,NA,NA,6.8,NA,0,0,0.000306091,100,16
P00748,NA,NA,NA,0.433333333,NA,0,0,0.000306091,100,16
A0A669KB69 (+1),NA,NA,NA,1.1,NA,0,0,0.000306091,100,16
K7EKF6 (+1),NA,NA,NA,1.006666667,NA,0,0,0.000306091,100,16
A0A5F9UK94 (+2),NA,NA,NA,1.01,NA,0,0,0.000612191,100,16
E7ENY0 (+3),NA,NA,NA,0.603333333,NA,0,0,0.000612191,100,16
H9KV75 (+1),NA,NA,NA,1.053333333,NA,0,0,0.000612191,100,16
P01023,NA,NA,NA,0.52,NA,0,0.000531359,0.000306091,55.16046467,16
P04217,NA,NA,NA,1.953333333,NA,0,0.001062677,0.000306091,69.22057766,16
A0A024R6I7 (+2),NA,NA,NA,1.673333333,NA,0,0,0.000306091,100,16
A0A0A0MRT6 (+2),NA,NA,NA,0.773333333,NA,0,0,0.000306091,100,16
APOB_HUMAN,NA,NA,NA,24.03333333,NA,0.034451968,0.034733185,0.035610704,0.998942095,15
ALBU_HUMAN,NA,NA,NA,45.86666667,NA,0.028188012,0.024232778,0.022774566,6.45196763,15
TLN1_HUMAN,NA,NA,NA,39.96666667,NA,0.026845465,0.029079249,0.029399764,2.824604772,15
FLNA_HUMAN,NA,NA,NA,33.83333333,NA,0.025950855,0.025444396,0.028571667,3.635649873,15
A0A024R1N1_HUMAN,NA,NA,NA,30.46666667,NA,0.024608308,0.022617007,0.022360307,3.062812499,15
CO3_HUMAN,NA,NA,NA,40.1,NA,0.023713698,0.019790039,0.02443076,6.369347006,15
SPTA1_HUMAN,NA,NA,NA,27.76666667,NA,0.023713698,0.018174268,0.021117951,7.619031543,15
APOA1_HUMAN,NA,NA,NA,43.56666667,NA,0.016554711,0.017366803,0.015735109,2.845730297,15
FIBB_HUMAN,NA,NA,NA,43.46666667,NA,0.020581509,0.018982153,0.016148947,6.978615939,15
B2RMN7_HUMAN,NA,NA,NA,25.4,NA,0.0156601,0.017770535,0.017805562,4.153635037,15
A0A140VJJ6_HUMAN (+1),NA,NA,NA,38.53333333,NA,0.013422943,0.013327796,0.012836558,1.376895025,15
FIBA_HUMAN,NA,NA,NA,22.03333333,NA,0.012975427,0.012924064,0.011180364,4.773321504,15
H6VRG0_HUMAN (+2),NA,NA,NA,32.76666667,NA,0.012975427,0.012924064,0.010351846,7.167406212,15
APOE_HUMAN,NA,NA,NA,47.83333333,NA,0.012975427,0.012520332,0.010766105,5.572204546,15
TSP1_HUMAN,NA,NA,NA,36.2,NA,0.014317553,0.014135682,0.013664655,1.385675917,15
B0YIW2_HUMAN,NA,NA,NA,35.6,NA,0.012080396,0.010904561,0.010766105,3.706028348,15
K22E_HUMAN,NA,NA,NA,48.3,NA,0.01073827,0.011308714,0.011180364,1.559941783,15
A0A0G2JPR0_HUMAN,NA,NA,NA,21.26666667,NA,0.011633302,0.010500828,0.012008461,3.981677838,15
ITIH4_HUMAN,NA,NA,NA,35.96666667,NA,0.011185786,0.011712446,0.011180364,1.553444075,15
ITA2B_HUMAN,NA,NA,NA,30.76666667,NA,0.009843239,0.009692943,0.011594202,5.880891606,15
A0A0A0MRJ7_HUMAN (+1),NA,NA,NA,11.63333333,NA,0.010290755,0.00767386,0.009938008,8.814820309,15
ANK1_HUMAN,NA,NA,NA,17.46666667,NA,0.009843239,0.00928921,0.009938008,2.087986364,15
TBB1_HUMAN,NA,NA,NA,41.83333333,NA,0.010290755,0.008077593,0.008695652,7.308354218,15
B7ZLE5_HUMAN,NA,NA,NA,19,NA,0.012527912,0.008885478,0.011594202,9.92775657,15
K1C10_HUMAN,NA,NA,NA,48.13333333,NA,0.011185786,0.00928921,0.009109911,6.734128894,15
A0A024R694_HUMAN,NA,NA,NA,34.96666667,NA,0.008948629,0.010097096,0.009109911,3.824891099,15
ITB3_HUMAN (+1),NA,NA,NA,26.6,NA,0.008053597,0.008481325,0.005797101,11.18563042,15
ACTB_HUMAN (+4),NA,NA,NA,39.03333333,NA,0.009396144,0.007269707,0.005797101,13.95168563,15
K1C9_HUMAN,NA,NA,NA,44.83333333,NA,0.008948629,0.00767386,0.010351846,8.601111595,15
V9HWI6_HUMAN,NA,NA,NA,43.73333333,NA,0.008053597,0.008481325,0.010351846,7.873922876,15
A0A024QZN4_HUMAN (+1),NA,NA,NA,19.26666667,NA,0.00492183,0.00767386,0.007867554,13.94603628,15
IGHM_HUMAN,NA,NA,NA,32.03333333,NA,0.006711472,0.008481325,0.00621136,9.651494092,15
Q8IWP6_HUMAN,NA,NA,NA,36.46666667,NA,0.006263956,0.005654357,0.006625198,4.583242348,15
A0A384NKS6_HUMAN (+1),NA,NA,NA,17.46666667,NA,0.00581644,0.003634896,0.00621136,15.34514201,15
D9ZGG2_HUMAN,NA,NA,NA,25.06666667,NA,0.008053597,0.00928921,0.007453295,6.538812606,15
G4V2I9_HUMAN,NA,NA,NA,19.16666667,NA,0.008053597,0.007269707,0.005382842,11.48345179,15
Q53H26_HUMAN,NA,NA,NA,27.56666667,NA,0.00581644,0.006461821,0.006625198,3.918375358,15
A0A384NYT8_HUMAN (+1),NA,NA,NA,26.16666667,NA,0.00581644,0.006058089,0,50.03105012,15
A2MG_HUMAN,NA,NA,NA,16.33333333,NA,0.007158987,0.00767386,0.007039457,2.669528271,15
L8E853_HUMAN,NA,NA,NA,7.563333333,NA,0.007606082,0.006058089,0.005382842,10.36494904,15
K1C14_HUMAN,NA,NA,NA,31.56666667,NA,0.00581644,0.005654357,0.004969004,4.739371045,15
CFAH_HUMAN,NA,NA,NA,14.13333333,NA,0.005368925,0.005654357,0.00414078,9.185986331,15
APOA4_HUMAN,NA,NA,NA,28.7,NA,0.004474314,0.004442739,0.004554745,0.742502009,15
IGK_HUMAN,NA,NA,NA,54.96666667,NA,0.007606082,0.006461821,0.005797101,7.97817779,15
K2C5_HUMAN,NA,NA,NA,16.83333333,NA,0.004474314,0.003634896,0.00414078,5.975905743,15
A8K9K1_HUMAN,NA,NA,NA,16,NA,0.004474314,0.004442739,0.004554745,0.742502009,15
