target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_180db7c003532ee317fe,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P05556,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO69,,blood_proteomics_xlsx,usGO 0h vs 6h,73,I73,ITB1_HUMAN;H7C4N8_HUMAN;C9JPK5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00056318866370019176,POSITIVE_FINITE,true,true,true,0.3888888888888889,19,PROHIBITED
T193_182f175b4cbae1ac58bf,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO105,,blood_proteomics_xlsx,sGO 0h v 6h,514,X514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0015059569854571555,POSITIVE_FINITE,true,true,false,0.55555555555555558,19,PROHIBITED
T193_1873f475b54bb792d372,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO86,,blood_proteomics_xlsx,usGO 0h vs 6h,66,W66,K2C1_HUMAN;H6VRG3_HUMAN;H6VRF9_HUMAN;F8VP67_HUMAN;A0A1W2PQU7_HUMAN,,,,NORMALIZED_ABUNDANCE,0.14197192206462872,POSITIVE_FINITE,true,true,true,1,20,PROHIBITED
T193_187a78dca60d490b8067,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO36,,blood_proteomics_xlsx,usGO 0h vs 6h,170,R170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.013283678583706332,POSITIVE_FINITE,true,true,true,0.88888888888888884,19,PROHIBITED
T193_18fd1a6e75e0acdf0163,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO88,,blood_proteomics_xlsx,sGO 0h v 6h,169,I169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0022555970486508804,POSITIVE_FINITE,true,true,true,0.58823529411764708,18,PROHIBITED
T193_19e8172e5937f14ce005,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P26038,T_D3_119b,T_D3_119b,protein_groups,,274,LFQ intensity T_D3_119b_2_S1-B8_6656:274,P26038;P35241;P15311,T_D3_119b_2_S1-B8_6656,,2,,20637.0,POSITIVE,true,true,true,0.20000000000000001,16,PROHIBITED
T193_19fdfcdae7c14fae7391,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO40,,blood_proteomics_xlsx,usGO 0h vs 6h,170,E170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.020398685125554112,POSITIVE_FINITE,true,true,true,0.88888888888888884,19,PROHIBITED
T193_1a10c0f778002b84b1c0,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P07996,PT_D3_37,PT_D3_37,protein_groups,,202,LFQ intensity PT_D3_37_2_S1-H5_6696:202,P07996;CON__Q28194;P35442,PT_D3_37_2_S1-H5_6696,,2,,66581.0,POSITIVE,true,true,true,0.38461538461538464,14,PROHIBITED
T193_1a91a83a27a2babdb6f2,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D3_28,PT_D3_28,protein_groups,,385,LFQ intensity PT_D3_28_1_S1-A5_6649:385,Q9HDC9,PT_D3_28_1_S1-A5_6649,,1,,15408.0,POSITIVE,true,true,false,0.25,13,PROHIBITED
T193_1aea6b1cc0006ffe6671,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO105,,blood_proteomics_xlsx,sGO 0h v 6h,301,X301,K2C1_HUMAN;H6VRF9_HUMAN;H6VRG3_HUMAN;F8VP67_HUMAN;Q969I0_HUMAN,,,,NORMALIZED_ABUNDANCE,0.12671105357619672,POSITIVE_FINITE,true,true,true,1,19,PROHIBITED
