threshold,model_id,biological_unit_id,measurement_batch_count,subject_mean_spearman,subject_mean_mae,subject_mean_rmse
25,SEQUENCE_RIDGE_FULL,001-0051,156,-0.02625187905074053,0.26748612040149605,0.3112795731208436
25,SEQUENCE_RIDGE_FULL,001-0052,116,0.11985723729675343,0.2546472588259159,0.3003521434920521
25,SEQUENCE_RIDGE_FULL,001-0057,122,0.0735474215472416,0.26081549052165637,0.30326504768193696
25,SEQUENCE_RIDGE_FULL,001-0060,122,0.18094833422464612,0.25536885884908744,0.29545680966215726
25,SEQUENCE_RIDGE_FULL,001-0061,59,0.17183797694086905,0.25651694583512996,0.29813544480565257
25,SEQUENCE_RIDGE_FULL,001-0062,96,0.12908503577384034,0.2525811957722453,0.299032786325347
25,SEQUENCE_RIDGE_FULL,001-0066,122,0.14142144310501306,0.26040012354273845,0.29924299639633034
25,SEQUENCE_RIDGE_FULL,001-0068,59,0.056675516888253265,0.2627054857471966,0.3063376837455677
25,SEQUENCE_RIDGE_FULL,003-0006,114,0.16915336455659036,0.25810060191615214,0.2981949843783065
25,SEQUENCE_RIDGE_FULL,004-0003,92,0.18186517047915332,0.25014780569048395,0.29425968932204777
25,SEQUENCE_RIDGE_FULL,005-0002,57,0.144447839887217,0.2601167298532795,0.30019756133235265
25,SEQUENCE_RIDGE_FULL,005-0018,159,0.13732328850237635,0.25679047506521135,0.2983761212102488
25,SEQUENCE_RIDGE_FULL,005-0019,118,0.05925677647034711,0.26332467961674294,0.30517966317245804
25,SEQUENCE_RIDGE_FULL,005-0024,59,0.014141263661563996,0.2667076208656367,0.30897183849077026
25,SEQUENCE_RIDGE_FULL,005-0029,124,0.14671582123428129,0.2552659201260213,0.2981898787301842
25,SEQUENCE_RIDGE_FULL,005-0032,122,0.11237630556317986,0.26008916564876006,0.3009828795395708
25,SEQUENCE_RIDGE_FULL,005-0033,117,0.13034609339637804,0.2616022989563143,0.30116499192470586
25,SEQUENCE_RIDGE_FULL,005-0041,127,0.16367409867172675,0.2588376094371212,0.29625872013653093
25,SEQUENCE_RIDGE_FULL,005-0051,120,0.10785053378212443,0.26174509096113485,0.3015444823514901
25,SEQUENCE_RIDGE_FULL,005-0056,88,0.16677281499862148,0.25610517982845743,0.2969454298839926
25,SEQUENCE_RIDGE_FULL,007-0003,113,0.034931776217232285,0.26425600924533615,0.30737071054991255
25,SEQUENCE_RIDGE_FULL,007-0012,128,0.07129270140152329,0.2642387483518989,0.30320465414057385
25,SEQUENCE_RIDGE_FULL,007-0015,124,0.10980535732343297,0.26004132759569204,0.301385483223442
25,SEQUENCE_RIDGE_FULL,007-0017,151,0.08187774422136132,0.26236398729686605,0.303545175297648
25,SEQUENCE_RIDGE_FULL,007-0024,83,0.03623594796008589,0.26942971486605477,0.3089135000580662
25,SEQUENCE_RIDGE_FULL,007-0025,124,0.1554814693093336,0.2622750705410334,0.2972489984317158
25,SEQUENCE_RIDGE_FULL,007-0026,120,0.0973532122853264,0.26439504082608134,0.30256835947133814
25,SEQUENCE_RIDGE_FULL,007-0027,121,0.18810870252382064,0.2594563086662036,0.2957519254374157
25,SEQUENCE_RIDGE_FULL,009-0006,157,0.03329461575306632,0.26573596219829254,0.3065645222245216
25,SEQUENCE_RIDGE_FULL,009-0008,160,0.07056859076930397,0.2626621051873482,0.3035401479012912
25,SEQUENCE_RIDGE_FULL,009-0011,127,0.01526042007459269,0.2674160433809028,0.30758141429074126
25,SEQUENCE_RIDGE_FULL,009-0016,92,0.1046865369781355,0.26149961839197705,0.30158714473516307
25,SEQUENCE_RIDGE_FULL,009-0017,156,0.03423109370073317,0.26319284451046104,0.30632629403610406
25,SEQUENCE_RIDGE_FULL,009-0018,123,0.09486448534144502,0.2598717436152942,0.3011464078492525
25,SEQUENCE_RIDGE_FULL,009-0021,157,0.04076187440628322,0.2666102664239404,0.3061247791808023
25,SEQUENCE_RIDGE_FULL,009-0028,122,0.11169760131106071,0.25716107048000425,0.3009024682613981
25,SEQUENCE_RIDGE_FULL,009-0029,124,0.06959261693688834,0.26302368003523846,0.30461218998605066
25,SEQUENCE_RIDGE_FULL,009-0031,129,0.09043409152517312,0.2621990625712225,0.3016133050109372
25,SEQUENCE_RIDGE_FULL,009-0036,58,0.03399014778325123,0.2625806621668204,0.30894739139795263
25,SEQUENCE_RIDGE_FULL,009-0037,83,0.036450693870048706,0.26138514039915495,0.30969926808934084
25,SEQUENCE_RIDGE_FULL,009-0039,91,0.04908568443051201,0.26605226027194834,0.3055152128962246
25,SEQUENCE_RIDGE_FULL,009-0048,158,0.09819202390229022,0.25976763782734763,0.30185183539244176
25,SEQUENCE_RIDGE_FULL,011-0002,129,0.13707294349633878,0.2535974193602726,0.29820719125716966
25,SEQUENCE_RIDGE_FULL,011-0007,128,0.10444716287769026,0.2599209907406442,0.30102247905599167
25,SEQUENCE_RIDGE_FULL,013-0006,126,0.11059114628255995,0.26061832203518254,0.30098976947587064
25,SEQUENCE_RIDGE_FULL,013-0008,126,0.1513281590571308,0.25721645761486434,0.29792770793839307
25,SEQUENCE_RIDGE_FULL,013-0021,163,0.12956221198156684,0.2584898708595567,0.29834819346390157
25,SEQUENCE_RIDGE_FULL,013-0032,161,0.03211775710385276,0.2631722932444152,0.3062639521009001
25,SEQUENCE_RIDGE_FULL,014-0024,88,0.1351013177487037,0.25822380393463007,0.3004472705036002
25,SEQUENCE_RIDGE_FULL,014-0032,55,0.06910883888080774,0.2612009432227387,0.30624627251130865
