source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,condition_kind,condition_label,replicate_label,measurement_batch_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!P5,P06396,PH,pH 7.7,Rep2,PMC6592156:PH:pH 7.7:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.8476861840467267,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!Q5,P06396,PH,pH 7.7,Rep3,PMC6592156:PH:pH 7.7:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.0750598600269683,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!S5,P06396,PH,pH 8.9,Rep1,PMC6592156:PH:pH 8.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.6520009195915168,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!T5,P06396,PH,pH 8.9,Rep2,PMC6592156:PH:pH 8.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.5505481846648337,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!U5,P06396,PH,pH 8.9,Rep3,PMC6592156:PH:pH 8.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.5471536851276433,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!C6,P03952,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.4749221000896737,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!D6,P03952,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.502023904383389,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!E6,P03952,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,7.1383218720067418,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!G6,P03952,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.785931327913338,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!H6,P03952,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.4342389721988518,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!I6,P03952,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.1923607412305213,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!K6,P03952,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.2987214144196813,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!L6,P03952,PH,pH 6.8,Rep2,PMC6592156:PH:pH 6.8:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.7574204349819,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!M6,P03952,PH,pH 6.8,Rep3,PMC6592156:PH:pH 6.8:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.2300088580702102,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!O6,P03952,PH,pH 7.7,Rep1,PMC6592156:PH:pH 7.7:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.4277122279709928,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!P6,P03952,PH,pH 7.7,Rep2,PMC6592156:PH:pH 7.7:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.6433602815072135,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!Q6,P03952,PH,pH 7.7,Rep3,PMC6592156:PH:pH 7.7:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.7923089465696478,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!S6,P03952,PH,pH 8.9,Rep1,PMC6592156:PH:pH 8.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.7055841333864468,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!T6,P03952,PH,pH 8.9,Rep2,PMC6592156:PH:pH 8.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.7903366326576897,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,6,pH!U6,P03952,PH,pH 8.9,Rep3,PMC6592156:PH:pH 8.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.6425772479035814,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!C7,P21333,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.5213018910274982,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!D7,P21333,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.5958718498322133,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!E7,P21333,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,7.2889968199263224,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!G7,P21333,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.1082158314700141,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!H7,P21333,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.4873286123170875,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!I7,P21333,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.4269083768027873,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!K7,P21333,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.3208880901241127,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!L7,P21333,PH,pH 6.8,Rep2,PMC6592156:PH:pH 6.8:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.9789218856935378,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!M7,P21333,PH,pH 6.8,Rep3,PMC6592156:PH:pH 6.8:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.4277682421238449,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!O7,P21333,PH,pH 7.7,Rep1,PMC6592156:PH:pH 7.7:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.2102590752058333,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,7,pH!P7,P21333,PH,pH 7.7,Rep2,PMC6592156:PH:pH 7.7:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.4350507075770089,POSITIVE_LOG_LFQ,true
