external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC11544298:data_1:Supp Data 1:15525:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15525,I15525,NORMALIZED_INTENSITY,1.4600000000000001e-05,0.40625,33
R4PMC11544298:data_1:Supp Data 1:15525:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15525,J15525,NORMALIZED_INTENSITY,1.42e-05,0.32258064516129031,32
R4PMC11544298:data_1:Supp Data 1:15525:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q14247,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15525,K15525,NORMALIZED_INTENSITY,1.45e-05,0.45161290322580644,32
R4PMC11544298:data_1:Supp Data 1:15529:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P30101,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15529,I15529,NORMALIZED_INTENSITY,0.000108435,0.71875,33
R4PMC11544298:data_1:Supp Data 1:15529:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P30101,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15529,J15529,NORMALIZED_INTENSITY,0.000105795,0.70967741935483875,32
R4PMC11544298:data_1:Supp Data 1:15529:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P30101,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15529,K15529,NORMALIZED_INTENSITY,0.00010043300000000001,0.70967741935483875,32
R4PMC11544298:data_1:Supp Data 1:15535:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9H4B7,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15535,I15535,NORMALIZED_INTENSITY,7.0199999999999999e-05,0.6875,33
R4PMC11544298:data_1:Supp Data 1:15535:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9H4B7,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15535,J15535,NORMALIZED_INTENSITY,6.5900000000000003e-05,0.67741935483870963,32
R4PMC11544298:data_1:Supp Data 1:15535:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9H4B7,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15535,K15535,NORMALIZED_INTENSITY,7.36e-05,0.67741935483870963,32
R4PMC11544298:data_1:Supp Data 1:15536:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9HDC9,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15536,I15536,NORMALIZED_INTENSITY,0.00012869100000000001,0.78125,33
R4PMC11544298:data_1:Supp Data 1:15536:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9HDC9,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15536,J15536,NORMALIZED_INTENSITY,0.00013862400000000001,0.77419354838709675,32
R4PMC11544298:data_1:Supp Data 1:15536:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q9HDC9,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15536,K15536,NORMALIZED_INTENSITY,0.00013213299999999999,0.77419354838709675,32
R4PMC11544298:data_1:Supp Data 1:15565:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11021,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15565,I15565,NORMALIZED_INTENSITY,1.7099999999999999e-05,0.4375,33
