target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_48c454a108225ad64367,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P68363,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO120,,blood_proteomics_xlsx,usGO 0h vs 6h,15,Z15,TBA1A_HUMAN;TBA1B_HUMAN;A0A1W2PQM2_HUMAN;B4DDU2_HUMAN;B4DQK4_HUMAN;Q8N532_HUMAN;TBA3C_HUMAN;TBA3E_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0011694209823150312,POSITIVE_FINITE,true,true,true,0.42105263157894735,20,PROHIBITED
T193_4921651c6a5e8368b467,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P07996,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO40,,blood_proteomics_xlsx,usGO 0h vs 6h,45,E45,TSP1_HUMAN;A0A024R9Q1_HUMAN;A0PJG0_HUMAN;A0A0B6XK25_HUMAN;A8MZG1_HUMAN;TSP2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0015587382814728525,POSITIVE_FINITE,true,true,true,0.55555555555555558,19,PROHIBITED
T193_494811acefa52828459a,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO73,,blood_proteomics_xlsx,sGO 0h v 6h,140,H140,TPIS_HUMAN;Q2QD09_HUMAN;U3KPZ0_HUMAN;U3KPS5_HUMAN,,,,NORMALIZED_ABUNDANCE,2.1589887357706617e-05,POSITIVE_FINITE,true,true,true,0,19,PROHIBITED
T193_495d0e1699e0ce658b40,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P05556,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,338,AF338,P05556,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,266889.478713306,POSITIVE,true,true,false,0,16,PROHIBITED
T193_49726d9d2f55e3ad8561,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q04695,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO83,,blood_proteomics_xlsx,sGO 0h v 6h,331,U331,K1C17_HUMAN;F5GWP8_HUMAN;Q14666_HUMAN;K7EPJ9_HUMAN;B4E2P9_HUMAN;K7ESE1_HUMAN;B4DJM5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0040893645110735384,POSITIVE_FINITE,true,true,true,0.77777777777777779,19,PROHIBITED
T193_49833363f867e5a1763a,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P61981,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO26,,blood_proteomics_xlsx,usGO 0h vs 6h,641,D641,1433G_HUMAN;B3KNB4_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0022351436216504492,POSITIVE_FINITE,true,true,true,0.55555555555555558,19,PROHIBITED
T193_498556bd77c5af7d2049,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO34,,blood_proteomics_xlsx,sGO 0h v 6h,140,R140,TPIS_HUMAN;Q2QD09_HUMAN;U3KPZ0_HUMAN;U3KPS5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.025414177204625802,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
T193_4a4ee156a5c4939c9880,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P68363,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO76,,blood_proteomics_xlsx,usGO 0h vs 6h,15,J15,TBA1A_HUMAN;TBA1B_HUMAN;A0A1W2PQM2_HUMAN;B4DDU2_HUMAN;B4DQK4_HUMAN;Q8N532_HUMAN;TBA3C_HUMAN;TBA3E_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0022361704303757507,POSITIVE_FINITE,true,true,true,0.45000000000000001,21,PROHIBITED
T193_4a7454aecdfc5e310f6f,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P63000,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO121,,blood_proteomics_xlsx,usGO 0h vs 6h,477,AA477,RAC1_HUMAN;RAC2_HUMAN;A0A024R9T5_HUMAN;B1AH77_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0030335578770817931,POSITIVE_FINITE,true,true,true,0.72222222222222221,19,PROHIBITED
T193_4abfc6a80c302d824f00,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P11021,PT_D3_41,PT_D3_41,protein_groups,,229,LFQ intensity PT_D3_41_1_S1-G3_6691:229,P11021,PT_D3_41_1_S1-G3_6691,,1,,50842.0,POSITIVE,true,true,false,0.29411764705882354,18,PROHIBITED
