analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,replicate_1,replicate_2,replicate_3,mean_value,cv_percent,good_center,similar_instrument,replicate_count
PMC11328176:SuppData1:11:Q13637,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2781|5903|9025,Supp Data 1!P2781|Supp Data 1!P5903|Supp Data 1!P9025,11,Q13637,RAB32,2.09567542809649e-05,2.10453162053257e-05,2.42790098272937e-05,2.20936934378614e-05,8.56831601313103,Yes,No,3
PMC11328176:SuppData1:11:Q13790,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2738|5860|8982,Supp Data 1!P2738|Supp Data 1!P5860|Supp Data 1!P8982,11,Q13790,APOF,0.000271434726389026,0.000273434583946325,0.000268420036986782,0.000271096449107378,0.931155831459604,Yes,No,3
PMC11328176:SuppData1:11:Q14141,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2850|5972|9094,Supp Data 1!P2850|Supp Data 1!P5972|Supp Data 1!P9094,11,Q14141,SEPTIN6,6.52609541961476e-06,6.34376438544892e-06,4.78652623462866e-06,5.88546201323078e-06,16.244481332604,Yes,No,3
PMC11328176:SuppData1:11:Q14165,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2568|5690|8812,Supp Data 1!P2568|Supp Data 1!P5690|Supp Data 1!P8812,11,Q14165,MLEC,4.27450355456193e-05,4.64976334673411e-05,4.23574658571316e-05,4.3866711623364e-05,5.21277080034518,Yes,No,3
PMC11328176:SuppData1:11:Q14247,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2764|5886|9008,Supp Data 1!P2764|Supp Data 1!P5886|Supp Data 1!P9008,11,Q14247,CTTN,1.43593112055479e-05,9.93838374427274e-06,1.14323781908833e-05,1.19100243802346e-05,18.8818681661188,Yes,No,3
PMC11328176:SuppData1:11:Q14254,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2470|5592|8714,Supp Data 1!P2470|Supp Data 1!P5592|Supp Data 1!P8714,11,Q14254,FLOT2,0.000218569052530941,0.000200127282834003,0.000210081204877062,0.000209592513414002,4.40406578674422,Yes,No,3
PMC11328176:SuppData1:11:Q14315,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2520|5642|8764,Supp Data 1!P2520|Supp Data 1!P5642|Supp Data 1!P8764,11,Q14315,FLNC,0.000325414968085008,0.000297442649115376,0.000307173583438571,0.000310010400212985,4.58058580886634,Yes,No,3
PMC11328176:SuppData1:11:Q14344,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2740|5862|8984,Supp Data 1!P2740|Supp Data 1!P5862|Supp Data 1!P8984,11,Q14344,GNA13,2.4732116923442e-06,3.1656374750236e-06,2.99267951661107e-06,2.87717622799296e-06,12.525252542274,Yes,No,3
PMC11328176:SuppData1:11:Q14520,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2856|5978|9100,Supp Data 1!P2856|Supp Data 1!P5978|Supp Data 1!P9100,11,Q14520,HABP2,3.18744637048417e-05,2.56010296611784e-05,3.15205673059346e-05,2.96653535573182e-05,11.8800293763957,Yes,No,3
PMC11328176:SuppData1:11:Q14624,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2388|5510|8632,Supp Data 1!P2388|Supp Data 1!P5510|Supp Data 1!P8632,11,Q14624,ITIH4,0.00255219873978029,0.00250848584171113,0.00260479452596641,0.00255515970248594,1.88726241825974,Yes,No,3
