source_id,canonical_accession,source_identifier,source_analysis_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BU256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BV256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BW256
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BO257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BP257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BQ257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BR257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BS257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,257,Sheet1!BT257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BU257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BV257
PXD017052_SEER_BROAD,O00187,O00187;O00187-2,PXD017052:Sheet1:257:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,257,Sheet1!BW257
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BO259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BP259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BQ259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BR259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BS259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,259,Sheet1!BT259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BU259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BV259
PXD017052_SEER_BROAD,O00264,O00264,PXD017052:Sheet1:259:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,259,Sheet1!BW259
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BO260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BP260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BQ260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BR260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BS260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,260,Sheet1!BT260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BU260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BV260
PXD017052_SEER_BROAD,O00299,O00299,PXD017052:Sheet1:260:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,260,Sheet1!BW260
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BO262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BP262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BQ262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BR262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BS262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,262,Sheet1!BT262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BU262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BV262
PXD017052_SEER_BROAD,O00410,O00410-2;O00410;O00410-3,PXD017052:Sheet1:262:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,262,Sheet1!BW262
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BO269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BP269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BQ269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BR269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BS269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,269,Sheet1!BT269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BU269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BV269
PXD017052_SEER_BROAD,O15145,O15145,PXD017052:Sheet1:269:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,269,Sheet1!BW269
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BO293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BP293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BQ293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BR293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BS293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,293,Sheet1!BT293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BU293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BV293
PXD017052_SEER_BROAD,O75083,O75083;O75083-3,PXD017052:Sheet1:293:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,293,Sheet1!BW293
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BO294
