source_id,source_identifier,candidate_tokens,resolved_canonical_accession,resolution_status
PXD017052_SEER_BROAD,A0A087X0D5;P09668,accession:P09668,P09668,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087X0Q4;A0A087WW87,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A087X0S5;P12109,accession:P12109,P12109,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087X188;Q9UBW5-3;Q9UBW5;S4R418;Q9UBW5-2,accession:Q9UBW5;accession:S4R418,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A087X1J7;P22352,accession:P22352,P22352,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087X1X7;E9PRY8;P29692;P29692-2;E9PMW7;P29692-3;E9PN91;E9PQZ1;P29692-4,accession:E9PMW7;accession:E9PN91;accession:E9PQZ1;accession:E9PRY8;accession:P29692,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A087X296;P23219-4;P23219-3;P23219-2;P23219;P23219-6;P23219-5;P35354,accession:P23219;accession:P35354,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A096LPE2;P35542;A0A3B3ISW8;E9PR14;G3V1D9;P0DJI9-2,accession:E9PR14;accession:G3V1D9;accession:P0DJI9;accession:P35542,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0A0MRA3;A0A0A0MTS7;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9;Q8WZ42-5;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7;Q8WZ42-2;Q8WZ42;Q8WZ42-8;Q8WZ42-13;Q8WZ42-12,accession:Q8WZ42,Q8WZ42,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A0MRG2;E9PG40;P05067-10;P05067-3;P05067-4;P05067-5;P05067-6;P05067-7;P05067-11;P05067-8;P05067-9;P05067;P05067-2,accession:E9PG40;accession:P05067,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0A0MRJ7;P12259,accession:P12259,P12259,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A0MRQ5;Q06830,accession:Q06830,Q06830,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A0MRZ8;P04433,accession:P04433,P04433,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A0MS15,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0A0MSD0;Q4LDE5;Q4LDE5-2;Q4LDE5-4,accession:Q4LDE5,Q4LDE5,UNIQUE_HUMAN_CANONICAL_ACCESSION
