external_target_observation_id,source_id,laboratory_anchor,canonical_accession,biological_unit_id,measurement_batch_id,technical_replicate_count,source_coordinates,author_positive_values,rank_percentile_mean_across_positive_technical_replicates,measurement_batch_positive_unique_target_count,coverage_stratum
R4PXD064962:PT_D1_23:P11021,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P11021,PT_D1_23,PT_D1_23,1,LFQ intensity PT_D1_23_2_S1-H1_6688:229,35489.0,0.13106796116504854,10,GE10
R4PXD064962:PT_D1_23:P26038,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,PT_D1_23,PT_D1_23,2,LFQ intensity PT_D1_23_1_S1-G1_6687:274;LFQ intensity PT_D1_23_2_S1-H1_6688:274,18411.0;60157.0,0.12880734818199124,10,GE10
R4PXD064962:PT_D1_23:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_23,PT_D1_23,1,LFQ intensity PT_D1_23_1_S1-G1_6687:51,134.34,0.0,10,GE10
R4PXD064962:PT_D1_23:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_23,PT_D1_23,2,LFQ intensity PT_D1_23_1_S1-G1_6687:385;LFQ intensity PT_D1_23_2_S1-H1_6688:385,28294.0;24597.0,0.09025794783932992,10,GE10
R4PXD064962:PT_D1_33:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:149;LFQ intensity PT_D1_33_2_S1-B2_6644:149,2332600.0;1807600.0,0.8467843487419008,10,GE10
R4PXD064962:PT_D1_33:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:160;LFQ intensity PT_D1_33_2_S1-B2_6644:160,407610.0;319930.0,0.5787714357671085,10,GE10
R4PXD064962:PT_D1_33:P05556,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P05556,PT_D1_33,PT_D1_33,1,LFQ intensity PT_D1_33_2_S1-B2_6644:173,28827.0,0.06763285024154589,10,GE10
R4PXD064962:PT_D1_33:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:178;LFQ intensity PT_D1_33_2_S1-B2_6644:178,2283900.0;2380200.0,0.8540765162442476,10,GE10
R4PXD064962:PT_D1_33:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_33,PT_D1_33,1,LFQ intensity PT_D1_33_2_S1-B2_6644:202,22476.0,0.043478260869565216,10,GE10
R4PXD064962:PT_D1_33:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:322;LFQ intensity PT_D1_33_2_S1-B2_6644:322,5385.9;3718.3,0.014355381550930696,10,GE10
