stratum_id,model_id,biological_unit_id,measurement_batch_id,protein_count,spearman,mae,rmse
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D1_133,T_D1_133,9,0.5166666666666667,0.42244488027406896,0.4475967515890466
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D1_138,T_D1_138,9,0.3333333333333333,0.38206331704534324,0.41359913717050834
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D1_165,T_D1_165,9,0.6666666666666666,0.35741453597971945,0.3783473302897658
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D1_173,T_D1_173,9,0.5666666666666667,0.3849059837664963,0.4011469381827925
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D1_186,T_D1_186,8,0.5,0.36348861096343965,0.394551171736758
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D3_119a,T_D3_119a,8,0.4523809523809524,0.3502571447092791,0.39900040451021923
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D3_119b,T_D3_119b,9,0.5833333333333334,0.3574091948787626,0.38589556280849546
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D3_155,T_D3_155,6,-0.37142857142857144,0.43989003198068866,0.48178846270980946
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D3_178,T_D3_178,8,0.6190476190476191,0.35936668891547474,0.38140847333246564
GE5_ALL,SEQUENCE_RIDGE_FULL,T_D3_198,T_D3_198,13,0.41208791208791207,0.3257219106038252,0.36799220075631034
GE10_ONLY,SEQUENCE_RIDGE_FULL,PT_D1_16,PT_D1_16,10,0.38181818181818183,0.3891730269625925,0.4266386701119052
GE10_ONLY,SEQUENCE_RIDGE_FULL,PT_D1_23,PT_D1_23,10,0.2727272727272727,0.4131527251009758,0.45271442666087586
GE10_ONLY,SEQUENCE_RIDGE_FULL,PT_D1_33,PT_D1_33,10,0.23636363636363636,0.3779601364187114,0.42832833995090785
GE10_ONLY,SEQUENCE_RIDGE_FULL,PT_D3_41,PT_D3_41,10,0.09090909090909091,0.35737962829641273,0.40100625608602136
GE10_ONLY,SEQUENCE_RIDGE_FULL,T_D3_198,T_D3_198,13,0.41208791208791207,0.3257219106038252,0.36799220075631034
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_16,PT_D1_16,10,0.2,0.3957100038626514,0.42761404582786505
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_18,PT_D1_18,8,0.23809523809523808,0.30775311537506084,0.3372107053170218
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_20,PT_D1_20,7,0.6785714285714286,0.3403928495086427,0.34719128026238805
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_23,PT_D1_23,10,-0.030303030303030304,0.415924888486982,0.4534947596397584
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_33,PT_D1_33,10,0.07878787878787878,0.3856479842371,0.4346966922187472
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_34,PT_D1_34,7,0.03571428571428571,0.40585289096319016,0.4440658989586206
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_48,PT_D1_48,9,0.08333333333333333,0.35600125987303616,0.4042192673712413
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_51,PT_D1_51,9,0.35,0.3471650263116676,0.37285408659640945
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_73,PT_D1_73,9,0.26666666666666666,0.386483358559653,0.42540587978801114
