resample,selected_alpha,null_subject_equal_mean_spearman
74,100.0,-0.2830907616696864
75,0.1,-0.3852770101436481
76,100.0,0.05642665528979507
77,100.0,0.7036860058941398
78,0.01,-0.00769697455311793
79,0.1,-0.14038116790631008
80,100.0,-0.02749695963731807
81,10.0,0.09113117623174492
82,100.0,-0.5400382343364423
83,1.0,-0.09595202448066485
84,0.1,-0.3834004479325866
85,0.01,0.569921902982682
86,1.0,-0.6064238560062789
87,10.0,0.17693294945809163
88,0.01,0.16631244265044023
89,10.0,-0.4925886927898302
90,0.1,0.5575879230732755
91,100.0,-0.34223305895584033
92,100.0,-0.24058839782932492
93,10.0,0.043424357471143614
94,0.1,-0.32388529965486706
95,1.0,0.5811870854852933
96,0.01,-0.5307154646288887
97,100.0,0.14561313790434938
98,0.1,0.2646848326450429
99,100.0,0.24925192007177188
100,100.0,-0.04820924006538344
101,0.01,-0.3896842695509076
102,100.0,0.6566815828862186
103,10.0,0.05806491968713236
104,100.0,0.6864676767693827
105,0.01,-0.08186279657858152
106,0.01,0.2474017021174871
107,0.1,-0.4104612784214886
108,100.0,-0.2374666331356319
109,100.0,-0.3692851026300966
110,0.01,-0.5915081026624538
111,0.01,-0.1564346683410961
112,0.01,-0.32579049099162843
113,10.0,-0.7143744415322909
114,100.0,0.06184048312819637
115,0.1,-0.564169318183311
116,0.01,0.024421567899923943
117,100.0,0.27871548971898796
118,0.01,0.07544466077916018
119,10.0,-0.13569786255400593
120,100.0,0.3407683071565891
121,1.0,-0.3555597241889332
122,0.01,-0.6046793717869369
123,100.0,-0.15866054061725268
124,100.0,-0.3757605331020289
125,10.0,0.012896219752363122
126,10.0,-0.018387508671723746
127,0.01,0.46135668879875336
128,0.01,-0.48706432664674953
129,10.0,-0.5045421934556175
130,10.0,0.04513632351411086
131,100.0,0.3853246186696126
132,100.0,0.4979505652920611
133,1.0,0.17943410200952853
134,10.0,-0.025939401223616283
135,0.1,0.16301408244565235
136,100.0,0.09788967722067841
137,10.0,0.24086832877825468
138,100.0,-0.17546539028174388
139,0.1,-0.17406270939720878
140,100.0,0.014059950581594554
141,0.01,-0.1543636047986729
142,0.01,-0.17582215435079468
143,10.0,0.3506721907727594
144,100.0,0.38087397602482914
145,0.01,-0.4996434101790469
146,0.1,-0.0014672027046316205
147,100.0,-0.02122310779503611
148,100.0,-0.3658467769508439
149,1.0,0.08462092248056405
150,100.0,0.1542440811505089
151,0.01,-0.16108081293695634
152,100.0,0.46785819215639995
153,10.0,0.022845593180092584
154,10.0,0.11545131673902999
155,100.0,-0.660962063170197
156,10.0,-0.21443289881418434
157,10.0,-0.05183990789369044
158,0.01,-0.17247918343239727
159,10.0,-0.0930767934615772
160,100.0,-0.08844744063808342
161,0.01,-0.22070516670866488
162,0.01,0.690609090910797
163,0.01,0.03218425937490214
164,0.01,0.1371074424419418
165,1.0,-0.09795236800265235
166,10.0,-0.1725926020744563
167,10.0,-0.3197140127245073
168,100.0,-0.6134777915385706
169,10.0,0.43718685620084907
170,0.01,-0.22888288112380822
171,100.0,-0.5418928274284642
172,100.0,0.09402029440507814
173,1.0,-0.11658185286956611
174,100.0,-0.029755686327614644
175,100.0,-0.1919443533326353
176,100.0,-0.43740986513614466
177,10.0,-0.015151409816910417
178,1.0,0.26965751204929217
179,100.0,-0.23394824157395241
180,100.0,-0.25186720825549025
181,0.01,-0.18302542145349313
182,100.0,-0.23802639374567686
183,0.01,0.11845085574206718
184,0.1,-0.6065988878035234
185,10.0,-0.0826744140124116
186,100.0,-0.30117345756173947
187,100.0,-0.17634111224404178
188,100.0,0.12187233692262127
189,1.0,0.014786547595904819
190,10.0,-0.21207189003210034
191,100.0,-0.26870671909150284
192,10.0,-0.3484826973961216
193,100.0,-0.06652212347883553
194,0.01,-0.4363563849353096
195,0.01,0.3178340070819306
196,0.01,-0.23882735274077682
197,0.1,0.08166565390658102
198,0.1,-0.15067441077497942
199,0.01,-0.018788992835778975
200,0.01,0.390313303942513
201,10.0,-0.24093235237091867
202,1.0,0.08709269237690744
203,0.1,-0.2923493903096005
