target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T250_785cd8f1a80af79eeb4e,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D1_34,PT_D1_34,protein_groups,,385,LFQ intensity PT_D1_34_2_S1-D2_6660:385,Q9HDC9,PT_D1_34_2_S1-D2_6660,,2,,43049.0,POSITIVE,true,true,false,0.5,13,PROHIBITED
T250_789585c594891f0d56f5,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P05556,PMC6592156:TEMPERATURE:41 °C:Rep2,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,Temperature,228,Temperature!P228,P05556,41 °C,41 °C,Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.9458323710654026,POSITIVE_LOG_LFQ,true,true,false,0.77074235807860259,459,PROHIBITED
T250_78f2595a182e6f4a457c,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO87,,blood_proteomics_xlsx,usGO 0h vs 6h,86,X86,MOES_HUMAN;Q6PJT4_HUMAN;B7Z4C7_HUMAN;RADI_HUMAN;B7Z2S7_HUMAN;Q9UJZ2_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0016580106936313432,POSITIVE_FINITE,true,true,true,0.47368421052631576,20,PROHIBITED
T250_79616e1618edf59ea44b,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P07996,PT_D1_33,PT_D1_33,protein_groups,,202,LFQ intensity PT_D1_33_2_S1-B2_6644:202,P07996;CON__Q28194;P35442,PT_D1_33_2_S1-B2_6644,,2,,22476.0,POSITIVE,true,true,true,0.25,17,PROHIBITED
T250_797a7d369838a3fc6fe7,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P06396,PT_D3_14,PT_D3_14,protein_groups,,178,LFQ intensity PT_D3_14_2_S1-D5_6666:178,P06396;CON__Q3SX14,PT_D3_14_2_S1-D5_6666,,2,,3661900.0,POSITIVE,true,true,true,1,16,PROHIBITED
T250_7a671ad1798bb73d8d1d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,74,N74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.023305917990690969,POSITIVE_FINITE,true,true,true,0.88888888888888884,19,PROHIBITED
T250_7aa3db3afedfcedeaca5,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO111,,blood_proteomics_xlsx,usGO 0h vs 6h,170,L170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.018520874843003857,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
T250_7ad4836cfa1a6e4e491b,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9HDC9,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO40,,blood_proteomics_xlsx,usGO 0h vs 6h,644,E644,APMAP_HUMAN,,,,NORMALIZED_ABUNDANCE,5.7188657748975601e-05,POSITIVE_FINITE,true,true,false,0,19,PROHIBITED
T250_7b03af2499f37affedfe,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P60174,PMC6592156:TEMPERATURE:41 °C:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,Temperature,330,Temperature!Q330,P60174,41 °C,41 °C,Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,5.0424691898071394,POSITIVE_LOG_LFQ,true,true,false,0.0023201856148491878,432,PROHIBITED
T250_7b11fb41ebbb8381d0b1,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO79,,blood_proteomics_xlsx,usGO 0h vs 6h,170,V170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.016912956271116917,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
