threshold,dimension,stratum,measurement_batch_count,qualified_batch_count,qualification_rate,biological_unit_count
5,biological_unit_id,001-0010,5,5,1.0,1
7,biological_unit_id,001-0010,5,5,1.0,1
10,biological_unit_id,001-0010,5,5,1.0,1
12,biological_unit_id,001-0010,5,5,1.0,1
15,biological_unit_id,001-0010,5,5,1.0,1
20,biological_unit_id,001-0010,5,4,0.8,1
25,biological_unit_id,001-0010,5,4,0.8,1
30,biological_unit_id,001-0010,5,4,0.8,1
5,biological_unit_id,001-0018,5,5,1.0,1
7,biological_unit_id,001-0018,5,5,1.0,1
10,biological_unit_id,001-0018,5,5,1.0,1
12,biological_unit_id,001-0018,5,5,1.0,1
15,biological_unit_id,001-0018,5,5,1.0,1
20,biological_unit_id,001-0018,5,4,0.8,1
25,biological_unit_id,001-0018,5,4,0.8,1
30,biological_unit_id,001-0018,5,3,0.6,1
5,biological_unit_id,001-0025,5,5,1.0,1
7,biological_unit_id,001-0025,5,5,1.0,1
10,biological_unit_id,001-0025,5,5,1.0,1
12,biological_unit_id,001-0025,5,5,1.0,1
15,biological_unit_id,001-0025,5,5,1.0,1
20,biological_unit_id,001-0025,5,4,0.8,1
25,biological_unit_id,001-0025,5,4,0.8,1
30,biological_unit_id,001-0025,5,3,0.6,1
5,biological_unit_id,001-0031,5,5,1.0,1
7,biological_unit_id,001-0031,5,5,1.0,1
10,biological_unit_id,001-0031,5,5,1.0,1
12,biological_unit_id,001-0031,5,5,1.0,1
15,biological_unit_id,001-0031,5,5,1.0,1
20,biological_unit_id,001-0031,5,4,0.8,1
25,biological_unit_id,001-0031,5,3,0.6,1
30,biological_unit_id,001-0031,5,1,0.2,1
5,biological_unit_id,001-0033,5,5,1.0,1
7,biological_unit_id,001-0033,5,5,1.0,1
10,biological_unit_id,001-0033,5,5,1.0,1
12,biological_unit_id,001-0033,5,5,1.0,1
15,biological_unit_id,001-0033,5,5,1.0,1
20,biological_unit_id,001-0033,5,4,0.8,1
25,biological_unit_id,001-0033,5,4,0.8,1
30,biological_unit_id,001-0033,5,3,0.6,1
5,biological_unit_id,001-0035,5,5,1.0,1
7,biological_unit_id,001-0035,5,5,1.0,1
10,biological_unit_id,001-0035,5,5,1.0,1
12,biological_unit_id,001-0035,5,5,1.0,1
15,biological_unit_id,001-0035,5,5,1.0,1
20,biological_unit_id,001-0035,5,4,0.8,1
25,biological_unit_id,001-0035,5,4,0.8,1
30,biological_unit_id,001-0035,5,2,0.4,1
5,biological_unit_id,001-0040,5,5,1.0,1
7,biological_unit_id,001-0040,5,5,1.0,1
10,biological_unit_id,001-0040,5,5,1.0,1
12,biological_unit_id,001-0040,5,5,1.0,1
15,biological_unit_id,001-0040,5,5,1.0,1
20,biological_unit_id,001-0040,5,5,1.0,1
25,biological_unit_id,001-0040,5,4,0.8,1
30,biological_unit_id,001-0040,5,3,0.6,1
5,biological_unit_id,001-0041,5,5,1.0,1
7,biological_unit_id,001-0041,5,5,1.0,1
10,biological_unit_id,001-0041,5,5,1.0,1
12,biological_unit_id,001-0041,5,5,1.0,1
15,biological_unit_id,001-0041,5,5,1.0,1
20,biological_unit_id,001-0041,5,4,0.8,1
25,biological_unit_id,001-0041,5,4,0.8,1
30,biological_unit_id,001-0041,5,3,0.6,1
5,biological_unit_id,001-0044,5,5,1.0,1
7,biological_unit_id,001-0044,5,5,1.0,1
10,biological_unit_id,001-0044,5,5,1.0,1
12,biological_unit_id,001-0044,5,5,1.0,1
15,biological_unit_id,001-0044,5,5,1.0,1
20,biological_unit_id,001-0044,5,4,0.8,1
25,biological_unit_id,001-0044,5,4,0.8,1
30,biological_unit_id,001-0044,5,2,0.4,1
5,biological_unit_id,001-0048,5,5,1.0,1
7,biological_unit_id,001-0048,5,5,1.0,1
10,biological_unit_id,001-0048,5,5,1.0,1
12,biological_unit_id,001-0048,5,5,1.0,1
15,biological_unit_id,001-0048,5,5,1.0,1
20,biological_unit_id,001-0048,5,4,0.8,1
25,biological_unit_id,001-0048,5,4,0.8,1
30,biological_unit_id,001-0048,5,2,0.4,1
5,biological_unit_id,001-0051,5,5,1.0,1
7,biological_unit_id,001-0051,5,5,1.0,1
10,biological_unit_id,001-0051,5,5,1.0,1
12,biological_unit_id,001-0051,5,5,1.0,1
15,biological_unit_id,001-0051,5,5,1.0,1
20,biological_unit_id,001-0051,5,5,1.0,1
25,biological_unit_id,001-0051,5,5,1.0,1
30,biological_unit_id,001-0051,5,4,0.8,1
5,biological_unit_id,001-0052,5,5,1.0,1
7,biological_unit_id,001-0052,5,5,1.0,1
10,biological_unit_id,001-0052,5,5,1.0,1
12,biological_unit_id,001-0052,5,5,1.0,1
15,biological_unit_id,001-0052,5,5,1.0,1
20,biological_unit_id,001-0052,5,4,0.8,1
25,biological_unit_id,001-0052,5,4,0.8,1
30,biological_unit_id,001-0052,5,2,0.4,1
5,biological_unit_id,001-0057,5,5,1.0,1
7,biological_unit_id,001-0057,5,5,1.0,1
10,biological_unit_id,001-0057,5,5,1.0,1
12,biological_unit_id,001-0057,5,5,1.0,1
15,biological_unit_id,001-0057,5,5,1.0,1
20,biological_unit_id,001-0057,5,4,0.8,1
25,biological_unit_id,001-0057,5,4,0.8,1
30,biological_unit_id,001-0057,5,2,0.4,1
5,biological_unit_id,001-0060,5,5,1.0,1
7,biological_unit_id,001-0060,5,5,1.0,1
10,biological_unit_id,001-0060,5,5,1.0,1
12,biological_unit_id,001-0060,5,5,1.0,1
15,biological_unit_id,001-0060,5,4,0.8,1
20,biological_unit_id,001-0060,5,4,0.8,1
25,biological_unit_id,001-0060,5,4,0.8,1
30,biological_unit_id,001-0060,5,3,0.6,1
5,biological_unit_id,001-0061,5,5,1.0,1
7,biological_unit_id,001-0061,5,5,1.0,1
10,biological_unit_id,001-0061,5,5,1.0,1
12,biological_unit_id,001-0061,5,5,1.0,1
15,biological_unit_id,001-0061,5,4,0.8,1
20,biological_unit_id,001-0061,5,4,0.8,1
25,biological_unit_id,001-0061,5,2,0.4,1
30,biological_unit_id,001-0061,5,1,0.2,1
5,biological_unit_id,001-0062,5,5,1.0,1
7,biological_unit_id,001-0062,5,5,1.0,1
10,biological_unit_id,001-0062,5,5,1.0,1
12,biological_unit_id,001-0062,5,5,1.0,1
15,biological_unit_id,001-0062,5,4,0.8,1
20,biological_unit_id,001-0062,5,4,0.8,1
25,biological_unit_id,001-0062,5,3,0.6,1
30,biological_unit_id,001-0062,5,3,0.6,1
5,biological_unit_id,001-0066,5,5,1.0,1
7,biological_unit_id,001-0066,5,5,1.0,1
10,biological_unit_id,001-0066,5,5,1.0,1
12,biological_unit_id,001-0066,5,5,1.0,1
15,biological_unit_id,001-0066,5,5,1.0,1
20,biological_unit_id,001-0066,5,4,0.8,1
25,biological_unit_id,001-0066,5,4,0.8,1
30,biological_unit_id,001-0066,5,2,0.4,1
5,biological_unit_id,001-0068,5,5,1.0,1
7,biological_unit_id,001-0068,5,5,1.0,1
10,biological_unit_id,001-0068,5,5,1.0,1
12,biological_unit_id,001-0068,5,5,1.0,1
15,biological_unit_id,001-0068,5,4,0.8,1
20,biological_unit_id,001-0068,5,4,0.8,1
25,biological_unit_id,001-0068,5,2,0.4,1
30,biological_unit_id,001-0068,5,1,0.2,1
5,biological_unit_id,003-0004,5,5,1.0,1
7,biological_unit_id,003-0004,5,3,0.6,1
10,biological_unit_id,003-0004,5,3,0.6,1
12,biological_unit_id,003-0004,5,3,0.6,1
15,biological_unit_id,003-0004,5,1,0.2,1
20,biological_unit_id,003-0004,5,0,0.0,0
25,biological_unit_id,003-0004,5,0,0.0,0
30,biological_unit_id,003-0004,5,0,0.0,0
5,biological_unit_id,003-0006,5,5,1.0,1
7,biological_unit_id,003-0006,5,5,1.0,1
10,biological_unit_id,003-0006,5,5,1.0,1
12,biological_unit_id,003-0006,5,5,1.0,1
15,biological_unit_id,003-0006,5,5,1.0,1
20,biological_unit_id,003-0006,5,4,0.8,1
25,biological_unit_id,003-0006,5,4,0.8,1
30,biological_unit_id,003-0006,5,1,0.2,1
5,biological_unit_id,004-0003,5,5,1.0,1
7,biological_unit_id,004-0003,5,5,1.0,1
10,biological_unit_id,004-0003,5,5,1.0,1
12,biological_unit_id,004-0003,5,5,1.0,1
15,biological_unit_id,004-0003,5,5,1.0,1
20,biological_unit_id,004-0003,5,4,0.8,1
25,biological_unit_id,004-0003,5,3,0.6,1
30,biological_unit_id,004-0003,5,2,0.4,1
5,biological_unit_id,005-0002,5,5,1.0,1
7,biological_unit_id,005-0002,5,5,1.0,1
10,biological_unit_id,005-0002,5,5,1.0,1
12,biological_unit_id,005-0002,5,5,1.0,1
15,biological_unit_id,005-0002,5,4,0.8,1
20,biological_unit_id,005-0002,5,4,0.8,1
25,biological_unit_id,005-0002,5,2,0.4,1
30,biological_unit_id,005-0002,5,1,0.2,1
5,biological_unit_id,005-0018,5,5,1.0,1
7,biological_unit_id,005-0018,5,5,1.0,1
10,biological_unit_id,005-0018,5,5,1.0,1
12,biological_unit_id,005-0018,5,5,1.0,1
15,biological_unit_id,005-0018,5,5,1.0,1
20,biological_unit_id,005-0018,5,5,1.0,1
25,biological_unit_id,005-0018,5,5,1.0,1
30,biological_unit_id,005-0018,5,5,1.0,1
5,biological_unit_id,005-0019,5,5,1.0,1
7,biological_unit_id,005-0019,5,5,1.0,1
10,biological_unit_id,005-0019,5,5,1.0,1
12,biological_unit_id,005-0019,5,5,1.0,1
15,biological_unit_id,005-0019,5,5,1.0,1
20,biological_unit_id,005-0019,5,4,0.8,1
25,biological_unit_id,005-0019,5,4,0.8,1
30,biological_unit_id,005-0019,5,2,0.4,1
5,biological_unit_id,005-0020,5,5,1.0,1
7,biological_unit_id,005-0020,5,5,1.0,1
10,biological_unit_id,005-0020,5,5,1.0,1
12,biological_unit_id,005-0020,5,3,0.6,1
15,biological_unit_id,005-0020,5,3,0.6,1
20,biological_unit_id,005-0020,5,2,0.4,1
25,biological_unit_id,005-0020,5,0,0.0,0
30,biological_unit_id,005-0020,5,0,0.0,0
5,biological_unit_id,005-0024,5,5,1.0,1
7,biological_unit_id,005-0024,5,5,1.0,1
10,biological_unit_id,005-0024,5,5,1.0,1
12,biological_unit_id,005-0024,5,4,0.8,1
15,biological_unit_id,005-0024,5,4,0.8,1
20,biological_unit_id,005-0024,5,4,0.8,1
25,biological_unit_id,005-0024,5,2,0.4,1
30,biological_unit_id,005-0024,5,1,0.2,1
5,biological_unit_id,005-0029,5,5,1.0,1
7,biological_unit_id,005-0029,5,5,1.0,1
10,biological_unit_id,005-0029,5,5,1.0,1
12,biological_unit_id,005-0029,5,5,1.0,1
15,biological_unit_id,005-0029,5,4,0.8,1
20,biological_unit_id,005-0029,5,4,0.8,1
25,biological_unit_id,005-0029,5,4,0.8,1
30,biological_unit_id,005-0029,5,3,0.6,1
5,biological_unit_id,005-0032,5,5,1.0,1
7,biological_unit_id,005-0032,5,5,1.0,1
10,biological_unit_id,005-0032,5,5,1.0,1
12,biological_unit_id,005-0032,5,5,1.0,1
15,biological_unit_id,005-0032,5,5,1.0,1
20,biological_unit_id,005-0032,5,4,0.8,1
25,biological_unit_id,005-0032,5,4,0.8,1
30,biological_unit_id,005-0032,5,2,0.4,1
5,biological_unit_id,005-0033,5,5,1.0,1
7,biological_unit_id,005-0033,5,5,1.0,1
10,biological_unit_id,005-0033,5,5,1.0,1
12,biological_unit_id,005-0033,5,5,1.0,1
15,biological_unit_id,005-0033,5,5,1.0,1
20,biological_unit_id,005-0033,5,4,0.8,1
25,biological_unit_id,005-0033,5,4,0.8,1
30,biological_unit_id,005-0033,5,2,0.4,1
5,biological_unit_id,005-0041,5,5,1.0,1
7,biological_unit_id,005-0041,5,5,1.0,1
10,biological_unit_id,005-0041,5,5,1.0,1
12,biological_unit_id,005-0041,5,5,1.0,1
15,biological_unit_id,005-0041,5,5,1.0,1
20,biological_unit_id,005-0041,5,4,0.8,1
25,biological_unit_id,005-0041,5,4,0.8,1
30,biological_unit_id,005-0041,5,4,0.8,1
5,biological_unit_id,005-0051,5,5,1.0,1
7,biological_unit_id,005-0051,5,5,1.0,1
10,biological_unit_id,005-0051,5,5,1.0,1
12,biological_unit_id,005-0051,5,5,1.0,1
15,biological_unit_id,005-0051,5,5,1.0,1
20,biological_unit_id,005-0051,5,5,1.0,1
25,biological_unit_id,005-0051,5,4,0.8,1
30,biological_unit_id,005-0051,5,2,0.4,1
5,biological_unit_id,005-0056,5,5,1.0,1
7,biological_unit_id,005-0056,5,5,1.0,1
10,biological_unit_id,005-0056,5,5,1.0,1
12,biological_unit_id,005-0056,5,5,1.0,1
15,biological_unit_id,005-0056,5,4,0.8,1
20,biological_unit_id,005-0056,5,3,0.6,1
25,biological_unit_id,005-0056,5,3,0.6,1
30,biological_unit_id,005-0056,5,2,0.4,1
5,biological_unit_id,007-0003,5,5,1.0,1
7,biological_unit_id,007-0003,5,5,1.0,1
10,biological_unit_id,007-0003,5,5,1.0,1
12,biological_unit_id,007-0003,5,5,1.0,1
15,biological_unit_id,007-0003,5,5,1.0,1
20,biological_unit_id,007-0003,5,4,0.8,1
25,biological_unit_id,007-0003,5,4,0.8,1
30,biological_unit_id,007-0003,5,1,0.2,1
5,biological_unit_id,007-0012,5,5,1.0,1
7,biological_unit_id,007-0012,5,5,1.0,1
10,biological_unit_id,007-0012,5,5,1.0,1
12,biological_unit_id,007-0012,5,5,1.0,1
15,biological_unit_id,007-0012,5,5,1.0,1
20,biological_unit_id,007-0012,5,4,0.8,1
25,biological_unit_id,007-0012,5,4,0.8,1
30,biological_unit_id,007-0012,5,3,0.6,1
5,biological_unit_id,007-0015,5,5,1.0,1
7,biological_unit_id,007-0015,5,5,1.0,1
10,biological_unit_id,007-0015,5,5,1.0,1
12,biological_unit_id,007-0015,5,5,1.0,1
15,biological_unit_id,007-0015,5,5,1.0,1
20,biological_unit_id,007-0015,5,4,0.8,1
25,biological_unit_id,007-0015,5,4,0.8,1
30,biological_unit_id,007-0015,5,3,0.6,1
5,biological_unit_id,007-0017,5,5,1.0,1
7,biological_unit_id,007-0017,5,5,1.0,1
10,biological_unit_id,007-0017,5,5,1.0,1
12,biological_unit_id,007-0017,5,5,1.0,1
15,biological_unit_id,007-0017,5,5,1.0,1
20,biological_unit_id,007-0017,5,5,1.0,1
25,biological_unit_id,007-0017,5,5,1.0,1
30,biological_unit_id,007-0017,5,3,0.6,1
5,biological_unit_id,007-0024,5,5,1.0,1
7,biological_unit_id,007-0024,5,5,1.0,1
10,biological_unit_id,007-0024,5,5,1.0,1
12,biological_unit_id,007-0024,5,5,1.0,1
15,biological_unit_id,007-0024,5,5,1.0,1
20,biological_unit_id,007-0024,5,4,0.8,1
25,biological_unit_id,007-0024,5,3,0.6,1
30,biological_unit_id,007-0024,5,0,0.0,0
5,biological_unit_id,007-0025,5,5,1.0,1
7,biological_unit_id,007-0025,5,5,1.0,1
10,biological_unit_id,007-0025,5,5,1.0,1
12,biological_unit_id,007-0025,5,5,1.0,1
15,biological_unit_id,007-0025,5,5,1.0,1
20,biological_unit_id,007-0025,5,5,1.0,1
25,biological_unit_id,007-0025,5,4,0.8,1
30,biological_unit_id,007-0025,5,3,0.6,1
5,biological_unit_id,007-0026,5,5,1.0,1
7,biological_unit_id,007-0026,5,5,1.0,1
10,biological_unit_id,007-0026,5,5,1.0,1
12,biological_unit_id,007-0026,5,5,1.0,1
15,biological_unit_id,007-0026,5,4,0.8,1
20,biological_unit_id,007-0026,5,4,0.8,1
25,biological_unit_id,007-0026,5,4,0.8,1
30,biological_unit_id,007-0026,5,3,0.6,1
5,biological_unit_id,007-0027,5,5,1.0,1
7,biological_unit_id,007-0027,5,5,1.0,1
10,biological_unit_id,007-0027,5,5,1.0,1
12,biological_unit_id,007-0027,5,5,1.0,1
15,biological_unit_id,007-0027,5,5,1.0,1
20,biological_unit_id,007-0027,5,4,0.8,1
25,biological_unit_id,007-0027,5,4,0.8,1
30,biological_unit_id,007-0027,5,2,0.4,1
5,biological_unit_id,009-0006,5,5,1.0,1
7,biological_unit_id,009-0006,5,5,1.0,1
10,biological_unit_id,009-0006,5,5,1.0,1
12,biological_unit_id,009-0006,5,5,1.0,1
15,biological_unit_id,009-0006,5,5,1.0,1
20,biological_unit_id,009-0006,5,5,1.0,1
25,biological_unit_id,009-0006,5,5,1.0,1
30,biological_unit_id,009-0006,5,4,0.8,1
5,biological_unit_id,009-0008,5,5,1.0,1
7,biological_unit_id,009-0008,5,5,1.0,1
10,biological_unit_id,009-0008,5,5,1.0,1
12,biological_unit_id,009-0008,5,5,1.0,1
15,biological_unit_id,009-0008,5,5,1.0,1
20,biological_unit_id,009-0008,5,5,1.0,1
25,biological_unit_id,009-0008,5,5,1.0,1
30,biological_unit_id,009-0008,5,5,1.0,1
5,biological_unit_id,009-0011,5,5,1.0,1
7,biological_unit_id,009-0011,5,5,1.0,1
10,biological_unit_id,009-0011,5,5,1.0,1
12,biological_unit_id,009-0011,5,5,1.0,1
15,biological_unit_id,009-0011,5,5,1.0,1
20,biological_unit_id,009-0011,5,5,1.0,1
25,biological_unit_id,009-0011,5,4,0.8,1
30,biological_unit_id,009-0011,5,3,0.6,1
5,biological_unit_id,009-0016,5,5,1.0,1
7,biological_unit_id,009-0016,5,5,1.0,1
10,biological_unit_id,009-0016,5,5,1.0,1
12,biological_unit_id,009-0016,5,5,1.0,1
15,biological_unit_id,009-0016,5,5,1.0,1
20,biological_unit_id,009-0016,5,5,1.0,1
25,biological_unit_id,009-0016,5,3,0.6,1
30,biological_unit_id,009-0016,5,2,0.4,1
5,biological_unit_id,009-0017,5,5,1.0,1
7,biological_unit_id,009-0017,5,5,1.0,1
10,biological_unit_id,009-0017,5,5,1.0,1
12,biological_unit_id,009-0017,5,5,1.0,1
15,biological_unit_id,009-0017,5,5,1.0,1
20,biological_unit_id,009-0017,5,5,1.0,1
25,biological_unit_id,009-0017,5,5,1.0,1
30,biological_unit_id,009-0017,5,4,0.8,1
5,biological_unit_id,009-0018,5,5,1.0,1
7,biological_unit_id,009-0018,5,5,1.0,1
10,biological_unit_id,009-0018,5,5,1.0,1
12,biological_unit_id,009-0018,5,5,1.0,1
15,biological_unit_id,009-0018,5,5,1.0,1
20,biological_unit_id,009-0018,5,4,0.8,1
25,biological_unit_id,009-0018,5,4,0.8,1
30,biological_unit_id,009-0018,5,3,0.6,1
5,biological_unit_id,009-0021,5,5,1.0,1
7,biological_unit_id,009-0021,5,5,1.0,1
10,biological_unit_id,009-0021,5,5,1.0,1
12,biological_unit_id,009-0021,5,5,1.0,1
15,biological_unit_id,009-0021,5,5,1.0,1
20,biological_unit_id,009-0021,5,5,1.0,1
25,biological_unit_id,009-0021,5,5,1.0,1
30,biological_unit_id,009-0021,5,4,0.8,1
5,biological_unit_id,009-0028,5,5,1.0,1
7,biological_unit_id,009-0028,5,5,1.0,1
10,biological_unit_id,009-0028,5,5,1.0,1
12,biological_unit_id,009-0028,5,5,1.0,1
15,biological_unit_id,009-0028,5,5,1.0,1
20,biological_unit_id,009-0028,5,4,0.8,1
25,biological_unit_id,009-0028,5,4,0.8,1
30,biological_unit_id,009-0028,5,3,0.6,1
5,biological_unit_id,009-0029,5,5,1.0,1
7,biological_unit_id,009-0029,5,5,1.0,1
10,biological_unit_id,009-0029,5,5,1.0,1
12,biological_unit_id,009-0029,5,5,1.0,1
15,biological_unit_id,009-0029,5,5,1.0,1
20,biological_unit_id,009-0029,5,5,1.0,1
25,biological_unit_id,009-0029,5,4,0.8,1
30,biological_unit_id,009-0029,5,3,0.6,1
5,biological_unit_id,009-0031,5,5,1.0,1
7,biological_unit_id,009-0031,5,5,1.0,1
10,biological_unit_id,009-0031,5,5,1.0,1
12,biological_unit_id,009-0031,5,5,1.0,1
15,biological_unit_id,009-0031,5,5,1.0,1
20,biological_unit_id,009-0031,5,5,1.0,1
25,biological_unit_id,009-0031,5,4,0.8,1
30,biological_unit_id,009-0031,5,4,0.8,1
5,biological_unit_id,009-0036,5,5,1.0,1
7,biological_unit_id,009-0036,5,5,1.0,1
10,biological_unit_id,009-0036,5,5,1.0,1
12,biological_unit_id,009-0036,5,5,1.0,1
15,biological_unit_id,009-0036,5,4,0.8,1
20,biological_unit_id,009-0036,5,3,0.6,1
25,biological_unit_id,009-0036,5,2,0.4,1
30,biological_unit_id,009-0036,5,0,0.0,0
5,biological_unit_id,009-0037,5,5,1.0,1
7,biological_unit_id,009-0037,5,5,1.0,1
10,biological_unit_id,009-0037,5,5,1.0,1
12,biological_unit_id,009-0037,5,5,1.0,1
15,biological_unit_id,009-0037,5,5,1.0,1
20,biological_unit_id,009-0037,5,4,0.8,1
25,biological_unit_id,009-0037,5,3,0.6,1
30,biological_unit_id,009-0037,5,1,0.2,1
5,biological_unit_id,009-0039,5,5,1.0,1
7,biological_unit_id,009-0039,5,5,1.0,1
10,biological_unit_id,009-0039,5,5,1.0,1
12,biological_unit_id,009-0039,5,5,1.0,1
15,biological_unit_id,009-0039,5,5,1.0,1
20,biological_unit_id,009-0039,5,4,0.8,1
25,biological_unit_id,009-0039,5,3,0.6,1
30,biological_unit_id,009-0039,5,2,0.4,1
5,biological_unit_id,009-0048,5,5,1.0,1
7,biological_unit_id,009-0048,5,5,1.0,1
10,biological_unit_id,009-0048,5,5,1.0,1
12,biological_unit_id,009-0048,5,5,1.0,1
